### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

value; hdDist; param
45; 0; 6
46; 0; 6
47; 0; 6
48; 0; 6
0; 0; 7
1; 0; 7
2; 2.04082; 7
3; 0; 7
4; 0; 7
5; 10.2041; 7
6; 16.3265; 7
7; 22.449; 7
8; 18.3673; 7
9; 12.2449; 7
10; 10.2041; 7
11; 8.16327; 7
12; 0; 7
13; 0; 7
14; 0; 7
15; 0; 7
16; 0; 7
17; 0; 7
18; 0; 7
19; 0; 7
20; 0; 7
21; 0; 7
22; 0; 7
23; 0; 7
24; 0; 7
25; 0; 7
26; 0; 7
27; 0; 7
28; 0; 7
29; 0; 7
30; 0; 7
31; 0; 7
32; 0; 7
33; 0; 7
34; 0; 7
35; 0; 7
36; 0; 7
37; 0; 7
38; 0; 7
39; 0; 7
40; 0; 7
41; 0; 7
42; 0; 7
43; 0; 7
44; 0; 7
45; 0; 7
46; 0; 7
47; 0; 7
48; 0; 7
0; 0; 8
1; 0; 8
2; 0; 8
3; 2.04082; 8
4; 4.08163; 8
5; 10.2041; 8
6; 18.3673; 8
7; 16.3265; 8
8; 18.3673; 8
9; 12.2449; 8
10; 6.12245; 8
11; 10.2041; 8
12; 2.04082; 8
13; 0; 8
14; 0; 8
15; 0; 8
16; 0; 8
17; 0; 8
18; 0; 8
19; 0; 8
20; 0; 8
21; 0; 8
22; 0; 8
23; 0; 8
24; 0; 8
25; 0; 8
26; 0; 8
27; 0; 8
28; 0; 8
29; 0; 8
30; 0; 8
31; 0; 8
32; 0; 8
33; 0; 8
34; 0; 8
35; 0; 8
36; 0; 8
37; 0; 8
38; 0; 8
39; 0; 8
40; 0; 8
41; 0; 8
42; 0; 8
43; 0; 8
44; 0; 8
45; 0; 8
46; 0; 8
47; 0; 8
48; 0; 8
0; 0; 9
1; 0; 9
2; 0; 9
3; 8.16327; 9
4; 10.2041; 9
5; 18.3673; 9
6; 14.2857; 9
7; 24.4898; 9
8; 18.3673; 9
9; 6.12245; 9
10; 0; 9
11; 0; 9
12; 0; 9
13; 0; 9
14; 0; 9
15; 0; 9
16; 0; 9
17; 0; 9
18; 0; 9
19; 0; 9
20; 0; 9
21; 0; 9
22; 0; 9
23; 0; 9
24; 0; 9
25; 0; 9
26; 0; 9
27; 0; 9
28; 0; 9
29; 0; 9
30; 0; 9
31; 0; 9
32; 0; 9
33; 0; 9
34; 0; 9
35; 0; 9
36; 0; 9
37; 0; 9
38; 0; 9
39; 0; 9
40; 0; 9
41; 0; 9
42; 0; 9
43; 0; 9
44; 0; 9
45; 0; 9
46; 0; 9
47; 0; 9
48; 0; 9
0; 0; 10
1; 0; 10
2; 4.08163; 10
3; 4.08163; 10
4; 14.2857; 10
5; 28.5714; 10
6; 32.6531; 10
7; 6.12245; 10
8; 8.16327; 10
9; 2.04082; 10
10; 0; 10
11; 0; 10
12; 0; 10
13; 0; 10
14; 0; 10
15; 0; 10
16; 0; 10
17; 0; 10
18; 0; 10
19; 0; 10
20; 0; 10
21; 0; 10
22; 0; 10
23; 0; 10
24; 0; 10
25; 0; 10
26; 0; 10
27; 0; 10
28; 0; 10
29; 0; 10
30; 0; 10
31; 0; 10
32; 0; 10
33; 0; 10
34; 0; 10
35; 0; 10
36; 0; 10
37; 0; 10
38; 0; 10
39; 0; 10
40; 0; 10
41; 0; 10
42; 0; 10
43; 0; 10
44; 0; 10
45; 0; 10
46; 0; 10
47; 0; 10
48; 0; 10
0; 0; 11
1; 0; 11
2; 0; 11
3; 4.08163; 11
4; 10.2041; 11
5; 22.449; 11
6; 26.5306; 11
7; 12.2449; 11
8; 16.3265; 11
9; 6.12245; 11
10; 2.04082; 11
11; 0; 11
12; 0; 11
13; 0; 11
14; 0; 11
15; 0; 11
16; 0; 11
17; 0; 11
18; 0; 11
19; 0; 11
20; 0; 11
21; 0; 11
22; 0; 11
23; 0; 11
24; 0; 11
25; 0; 11
26; 0; 11
27; 0; 11
28; 0; 11
29; 0; 11
30; 0; 11
31; 0; 11
32; 0; 11
33; 0; 11
34; 0; 11
35; 0; 11
36; 0; 11
37; 0; 11
38; 0; 11
39; 0; 11
40; 0; 11
41; 0; 11
42; 0; 11
43; 0; 11
44; 0; 11
45; 0; 11
46; 0; 11
47; 0; 11
48; 0; 11
0; 0; 12
1; 0; 12
2; 0; 12
3; 2.04082; 12
4; 4.08163; 12
5; 6.12245; 12
6; 26.5306; 12
7; 32.6531; 12
8; 18.3673; 12
9; 6.12245; 12
10; 4.08163; 12
11; 0; 12
12; 0; 12
13; 0; 12
14; 0; 12
15; 0; 12
16; 0; 12
17; 0; 12
18; 0; 12
19; 0; 12
20; 0; 12
21; 0; 12
22; 0; 12
23; 0; 12
24; 0; 12
25; 0; 12
26; 0; 12
27; 0; 12
28; 0; 12
29; 0; 12
30; 0; 12
31; 0; 12
32; 0; 12
33; 0; 12
34; 0; 12
35; 0; 12
36; 0; 12
37; 0; 12
38; 0; 12
39; 0; 12
40; 0; 12
41; 0; 12
42; 0; 12
43; 0; 12
44; 0; 12
45; 0; 12
46; 0; 12
47; 0; 12
48; 0; 12
0; 0; 13
1; 0; 13
2; 0; 13
3; 2.04082; 13
4; 0; 13
5; 10.2041; 13
6; 16.3265; 13
7; 30.6122; 13
8; 18.3673; 13
9; 8.16327; 13
10; 10.2041; 13
11; 4.08163; 13
12; 0; 13
13; 0; 13
14; 0; 13
15; 0; 13
16; 0; 13
17; 0; 13
18; 0; 13
19; 0; 13
20; 0; 13
21; 0; 13
22; 0; 13
23; 0; 13
24; 0; 13
25; 0; 13
26; 0; 13
27; 0; 13
28; 0; 13
29; 0; 13
30; 0; 13
31; 0; 13
32; 0; 13
33; 0; 13
34; 0; 13
35; 0; 13
36; 0; 13
37; 0; 13
38; 0; 13
39; 0; 13
40; 0; 13
41; 0; 13
42; 0; 13
43; 0; 13
44; 0; 13
45; 0; 13
46; 0; 13
47; 0; 13
48; 0; 13
0; 0; 14
1; 0; 14
2; 0; 14
3; 12.2449; 14
4; 14.2857; 14
5; 10.2041; 14
6; 12.2449; 14
7; 24.4898; 14
8; 16.3265; 14
9; 8.16327; 14
10; 0; 14
11; 0; 14
12; 2.04082; 14
13; 0; 14
14; 0; 14
15; 0; 14
16; 0; 14
17; 0; 14
18; 0; 14
19; 0; 14
20; 0; 14
21; 0; 14
22; 0; 14
23; 0; 14
24; 0; 14
25; 0; 14
26; 0; 14
27; 0; 14
28; 0; 14
29; 0; 14
30; 0; 14
31; 0; 14
32; 0; 14
33; 0; 14
34; 0; 14
35; 0; 14
36; 0; 14
37; 0; 14
38; 0; 14
39; 0; 14
40; 0; 14
41; 0; 14
42; 0; 14
43; 0; 14
44; 0; 14
45; 0; 14
46; 0; 14
47; 0; 14
48; 0; 14
0; 0; 15
1; 0; 15
2; 0; 15
3; 10.2041; 15
4; 12.2449; 15
5; 24.4898; 15
6; 26.5306; 15
7; 18.3673; 15
8; 4.08163; 15
9; 2.04082; 15
10; 2.04082; 15
11; 0; 15
12; 0; 15
13; 0; 15
14; 0; 15
15; 0; 15
16; 0; 15
17; 0; 15
18; 0; 15
19; 0; 15
20; 0; 15
21; 0; 15
22; 0; 15
23; 0; 15
24; 0; 15
25; 0; 15
26; 0; 15
27; 0; 15
28; 0; 15
29; 0; 15
30; 0; 15
31; 0; 15
32; 0; 15
33; 0; 15
34; 0; 15
35; 0; 15
36; 0; 15
37; 0; 15
38; 0; 15
39; 0; 15
40; 0; 15
41; 0; 15
42; 0; 15
43; 0; 15
44; 0; 15
45; 0; 15
46; 0; 15
47; 0; 15
48; 0; 15
0; 0; 16
1; 0; 16
2; 0; 16
3; 0; 16
4; 4.08163; 16
5; 10.2041; 16
6; 12.2449; 16
7; 32.6531; 16
8; 14.2857; 16
9; 14.2857; 16
10; 10.2041; 16
11; 2.04082; 16
12; 0; 16
13; 0; 16
14; 0; 16
15; 0; 16
16; 0; 16
17; 0; 16
18; 0; 16
19; 0; 16
20; 0; 16
21; 0; 16
22; 0; 16
23; 0; 16
24; 0; 16
25; 0; 16
26; 0; 16
