### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; fitness; appearence; param
0.375; 0.0512702; 0.044534; 0.001
0.425; 0.0783246; 0.0477126; 0.001
0.475; 0.0836375; 0.060005; 0.001
0.525; 0.118643; 0.0433977; 0.001
0.575; 0.160315; 0.0559292; 0.001
0.625; 0.144193; 0.0476893; 0.001
0.675; 0.100225; 0.0484948; 0.001
0.725; 0.0589844; 0.0569829; 0.001
0.775; 0.0292611; 0.0454002; 0.001
0.825; 0.00815075; 0.0541316; 0.001
0.875; 0.0031387; 0.0461524; 0.001
0.925; 0; 0.050404; 0.001
0.975; 0; 0.0602807; 0.001
