### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

value; productivity; quality; param
0.425; 0; 16.9513; 8
0.475; 0.0416493; 28.363; 8
0.525; 0.124948; 27.2385; 8
0.575; 0.0416493; 20.6163; 8
0.625; 0; 6.7472; 8
0.675; 5.87256; 0; 8
0.725; 93.9213; 0; 8
0.775; 0; 0; 8
0.825; 0; 0; 8
0.875; 0; 0; 8
0.925; 0; 0; 8
0.975; 0; 0; 8
0.025; 0; 0; 9
0.075; 0; 0; 9
0.125; 0; 0; 9
0.175; 0; 0; 9
0.225; 0.0416493; 0; 9
0.275; 0; 0; 9
0.325; 0; 0; 9
0.375; 0; 0; 9
0.425; 0; 0; 9
0.475; 0; 37.609; 9
0.525; 2.45731; 39.6498; 9
0.575; 97.5033; 18.6588; 9
0.625; 0; 4.08164; 9
0.675; 0; 0; 9
0.725; 0; 0; 9
0.775; 0; 0; 9
0.825; 0; 0; 9
0.875; 0; 0; 9
0.925; 0; 0; 9
0.975; 0; 0; 9
0.025; 0; 0; 10
0.075; 0; 0; 10
0.125; 0; 0; 10
0.175; 0.0832986; 0; 10
0.225; 0.0832986; 0; 10
0.275; 0.249896; 0; 10
0.325; 0.0416493; 0; 10
0.375; 0.333194; 0; 10
0.425; 0.458142; 18.992; 10
0.475; 98.7529; 23.5318; 10
0.525; 0; 28.3214; 10
0.575; 0; 28.3214; 10
0.625; 0; 0.458142; 10
0.675; 0; 0; 10
0.725; 0; 0.374844; 10
0.775; 0; 0; 10
0.825; 0; 0; 10
0.875; 0; 0; 10
0.925; 0; 0; 10
0.975; 0; 0; 10
0.025; 0; 0; 11
0.075; 0; 0; 11
0.125; 0; 0; 11
0.175; 0; 0; 11
0.225; 0; 0; 11
0.275; 0.124948; 0.124948; 11
0.325; 0; 0; 11
0.375; 0; 5.70597; 11
0.425; 0.0832986; 10.1208; 11
0.475; 39.4832; 20.1582; 11
0.525; 24.6146; 45.1475; 11
0.575; 35.6932; 10.579; 11
0.625; 0; 8.16329; 11
0.675; 0; 0; 11
0.725; 0; 0; 11
0.775; 0; 0; 11
0.825; 0; 0; 11
0.875; 0; 0; 11
0.925; 0; 0; 11
0.975; 0; 0; 11
0.025; 0; 0; 12
0.075; 0; 0; 12
0.125; 0; 0; 12
0.175; 0; 0; 12
0.225; 0.0832986; 0; 12
0.275; 0; 0; 12
0.325; 0.124948; 0; 12
0.375; 0.0832986; 0.0416493; 12
0.425; 0; 17.8259; 12
0.475; 0; 41.649; 12
0.525; 0; 33.3192; 12
0.575; 78.885; 7.0804; 12
0.625; 20.8246; 0.0832986; 12
0.675; 0; 0; 12
0.725; 0; 0; 12
0.775; 0; 0; 12
0.825; 0; 0; 12
0.875; 0; 0; 12
0.925; 0; 0; 12
0.975; 0; 0; 12
0.025; 0; 0; 13
0.075; 0; 0; 13
0.125; 0; 0; 13
0.175; 0; 0; 13
0.225; 0; 0; 13
0.275; 0; 0; 13
0.325; 0; 0; 13
0.375; 0; 3.24865; 13
0.425; 0; 18.4506; 13
0.475; 0; 45.2724; 13
0.525; 0.0416493; 32.0697; 13
0.575; 0.916285; 0.0416493; 13
0.625; 0; 0.58309; 13
0.675; 45.5223; 0.333194; 13
0.725; 53.5191; 0; 13
0.775; 0; 0; 13
0.825; 0; 0; 13
0.875; 0; 0; 13
0.925; 0; 0; 13
0.975; 0; 0; 13
0.025; 0; 0; 14
0.075; 0; 0; 14
0.125; 0; 0; 14
0.175; 0; 0; 14
0.225; 0.0832986; 0; 14
0.275; 0; 0; 14
0.325; 0.0416493; 0.0832986; 14
0.375; 0.124948; 0; 14
0.425; 4.99793; 0; 14
0.475; 94.7543; 45.3557; 14
0.525; 0; 30.8619; 14
0.575; 0; 23.615; 14
0.625; 0; 0; 14
0.675; 0; 0.0832986; 14
0.725; 0; 0; 14
0.775; 0; 0; 14
0.825; 0; 0; 14
0.875; 0; 0; 14
0.925; 0; 0; 14
0.975; 0; 0; 14
0.025; 0; 0; 15
0.075; 0; 0; 15
0.125; 0; 0; 15
0.175; 0; 0; 15
0.225; 0; 0; 15
0.275; 0.0416493; 0; 15
0.325; 0.208247; 0; 15
