### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

time; nVar; meanDU; param
50; 49.446; 9.09604; 0.0002
55; 47.874; 6.956; 0.0002
60; 44.208; 5.00543; 0.0002
65; 38.546; 3.52033; 0.0002
70; 31.866; 2.5891; 0.0002
75; 26.126; 2.10437; 0.0002
80; 22.506; 1.86482; 0.0002
85; 20.302; 1.73049; 0.0002
90; 18.984; 1.65551; 0.0002
95; 18.102; 1.59906; 0.0002
100; 17.348; 1.56143; 0.0002
105; 16.802; 1.52404; 0.0002
110; 16.242; 1.49425; 0.0002
115; 15.73; 1.4562; 0.0002
120; 15.206; 1.43151; 0.0002
125; 14.778; 1.41029; 0.0002
130; 14.518; 1.40294; 0.0002
135; 14.398; 1.39249; 0.0002
140; 14.288; 1.39065; 0.0002
145; 14.214; 1.38184; 0.0002
150; 14.096; 1.38037; 0.0002
155; 14.024; 1.37122; 0.0002
160; 13.944; 1.37033; 0.0002
165; 13.872; 1.3622; 0.0002
170; 13.806; 1.3638; 0.0002
175; 13.762; 1.358; 0.0002
180; 13.734; 1.36212; 0.0002
185; 13.728; 1.35759; 0.0002
190; 13.72; 1.36135; 0.0002
195; 13.722; 1.35706; 0.0002
0; 50; 31.4167; 0.0005
5; 50.018; 29.1692; 0.0005
10; 50.11; 26.811; 0.0005
15; 50.2; 24.4813; 0.0005
20; 50.286; 22.1805; 0.0005
25; 50.356; 19.9226; 0.0005
30; 50.368; 17.6936; 0.0005
35; 50.4; 15.4953; 0.0005
40; 50.356; 13.2973; 0.0005
45; 50.202; 11.1029; 0.0005
50; 49.606; 8.91017; 0.0005
55; 47.792; 6.75657; 0.0005
60; 43.828; 4.78874; 0.0005
65; 37.584; 3.29747; 0.0005
70; 30.318; 2.41163; 0.0005
75; 24.69; 1.98; 0.0005
80; 21.152; 1.77657; 0.0005
85; 19.184; 1.6742; 0.0005
90; 18.088; 1.60616; 0.0005
95; 17.342; 1.56645; 0.0005
100; 16.838; 1.53098; 0.0005
105; 16.354; 1.50722; 0.0005
110; 15.918; 1.46988; 0.0005
115; 15.388; 1.43878; 0.0005
120; 14.896; 1.40894; 0.0005
125; 14.564; 1.39816; 0.0005
130; 14.384; 1.384; 0.0005
135; 14.276; 1.38261; 0.0005
140; 14.182; 1.37229; 0.0005
145; 14.092; 1.37204; 0.0005
150; 14.03; 1.36241; 0.0005
155; 13.938; 1.36118; 0.0005
160; 13.878; 1.3509; 0.0005
165; 13.794; 1.35171; 0.0005
170; 13.742; 1.34657; 0.0005
175; 13.738; 1.34939; 0.0005
180; 13.728; 1.34518; 0.0005
185; 13.72; 1.34824; 0.0005
190; 13.742; 1.34429; 0.0005
195; 13.736; 1.34763; 0.0005
0; 50; 31.4305; 0.001
5; 50.056; 29.1922; 0.001
10; 50.236; 26.8372; 0.001
15; 50.43; 24.5097; 0.001
20; 50.602; 22.2207; 0.001
25; 50.694; 19.9542; 0.001
