### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
1230; 58.565; 7.17898; 0.804019; 0; 0.804019; 0.0542461; 0.970668; 0.92102; 0.383728; 0.231505; 0.743841; 0
1260; 58.025; 7.18092; 0.803298; 0; 0.803298; 0.0545794; 0.970487; 0.921241; 0.383513; 0.230833; 0.744727; 0
1290; 57.405; 7.17143; 0.804227; 0; 0.804227; 0.0556393; 0.970174; 0.919766; 0.386027; 0.232661; 0.743126; 0
1320; 57.24; 7.16041; 0.803632; 0; 0.803632; 0.0550562; 0.970177; 0.919924; 0.385664; 0.232359; 0.74384; 0
1350; 57.175; 7.16653; 0.803673; 0; 0.803673; 0.0551229; 0.970119; 0.919698; 0.383557; 0.231163; 0.744539; 0
1380; 57.18; 7.14908; 0.803922; 0; 0.803922; 0.0553395; 0.970037; 0.91862; 0.385881; 0.232655; 0.742808; 0
1410; 57.29; 7.17439; 0.803844; 0; 0.803844; 0.0546043; 0.970374; 0.920552; 0.384573; 0.231864; 0.745056; 0
1440; 57.19; 7.1804; 0.804548; 0; 0.804548; 0.0547272; 0.970263; 0.920597; 0.385139; 0.231389; 0.744874; 0
1470; 56.905; 7.16755; 0.803212; 0; 0.803212; 0.0551874; 0.970052; 0.920042; 0.382861; 0.230129; 0.744677; 0
1500; 56.67; 7.16714; 0.804429; 0; 0.804429; 0.0548397; 0.970307; 0.920596; 0.384686; 0.232083; 0.743633; 0
1530; 56.85; 7.19378; 0.804487; 0; 0.804487; 0.0551874; 0.970119; 0.919024; 0.384479; 0.231666; 0.744494; 0
1560; 57.18; 7.18888; 0.804963; 0; 0.804963; 0.0554894; 0.970083; 0.918381; 0.386379; 0.232666; 0.74303; 0
1590; 57.16; 7.18969; 0.804191; 0; 0.804191; 0.0549979; 0.970084; 0.919427; 0.384121; 0.231388; 0.745218; 0
1620; 57.25; 7.16459; 0.804953; 0; 0.804953; 0.0559704; 0.970002; 0.918875; 0.387037; 0.233462; 0.742911; 0
1650; 57.26; 7.22153; 0.804506; 0; 0.804506; 0.0567472; 0.970072; 0.919353; 0.385073; 0.231678; 0.744114; 0
1680; 57.245; 7.22102; 0.803941; 0; 0.803941; 0.0548063; 0.970225; 0.919855; 0.382872; 0.229739; 0.744815; 0
1710; 57.245; 7.22908; 0.804224; 0; 0.804224; 0.0551978; 0.969974; 0.919617; 0.383586; 0.230614; 0.74411; 0
1740; 56.89; 7.23827; 0.804166; 0; 0.804166; 0.0549813; 0.970057; 0.91889; 0.381491; 0.229401; 0.744511; 0
1770; 57.18; 7.21235; 0.805011; 0; 0.805011; 0.0561641; 0.969766; 0.91951; 0.382945; 0.230682; 0.744963; 0
1800; 56.525; 7.17949; 0.804243; 0; 0.804243; 0.0548271; 0.970092; 0.921425; 0.384711; 0.231556; 0.745152; 0
1830; 56.315; 7.20551; 0.803374; 0; 0.803374; 0.0550021; 0.969936; 0.919278; 0.383503; 0.230363; 0.745344; 0
1860; 56.725; 7.20704; 0.804457; 0; 0.804457; 0.0558851; 0.969875; 0.919499; 0.383253; 0.230124; 0.74558; 0
1890; 56.6; 7.20418; 0.804015; 0; 0.804015; 0.0550541; 0.969985; 0.919227; 0.384827; 0.231858; 0.744593; 0
1920; 56.935; 7.23847; 0.803944; 0; 0.803944; 0.0557164; 0.969854; 0.918452; 0.380381; 0.22836; 0.745901; 0
1950; 56.805; 7.20867; 0.804137; 0; 0.804137; 0.0546939; 0.970115; 0.920023; 0.383503; 0.23036; 0.743905; 0
1980; 56.965; 7.21347; 0.804584; 0; 0.804584; 0.055908; 0.969963; 0.919539; 0.384275; 0.231354; 0.744186; 0
2010; 56.945; 7.18408; 0.805191; 0; 0.805191; 0.0555998; 0.969703; 0.918567; 0.384492; 0.231787; 0.746468; 0
2040; 56.545; 7.20102; 0.804797; 0; 0.804797; 0.0541774; 0.970058; 0.920786; 0.383776; 0.231402; 0.744395; 0
2070; 56.29; 7.21337; 0.805508; 0; 0.805508; 0.0545419; 0.970112; 0.920429; 0.38506; 0.232373; 0.744588; 0
2100; 56.625; 7.22561; 0.804241; 0; 0.804241; 0.0550396; 0.970284; 0.92047; 0.384186; 0.231101; 0.744236; 0
2130; 56.85; 7.1901; 0.803867; 0; 0.803867; 0.0555997; 0.969896; 0.919949; 0.383415; 0.230888; 0.744888; 0
2160; 56.32; 7.22051; 0.804663; 0; 0.804663; 0.0559621; 0.969867; 0.920146; 0.384198; 0.231014; 0.744164; 0
2190; 56.385; 7.23714; 0.803532; 0; 0.803532; 0.0556289; 0.969932; 0.919145; 0.382199; 0.229339; 0.744273; 0
2220; 56.87; 7.20918; 0.805487; 0; 0.805487; 0.0559767; 0.96994; 0.918675; 0.384788; 0.232064; 0.744977; 0
2250; 57.1; 7.19266; 0.804641; 0; 0.804641; 0.0550729; 0.969814; 0.919838; 0.384394; 0.231463; 0.744311; 0
2280; 56.08; 7.19816; 0.804963; 0; 0.804963; 0.0555393; 0.96977; 0.91953; 0.38191; 0.230045; 0.745521; 0
2310; 56.27; 7.17918; 0.805733; 0; 0.805733; 0.0566618; 0.96953; 0.919061; 0.385035; 0.232096; 0.745186; 0
2340; 56.105; 7.18082; 0.805281; 0; 0.805281; 0.0552478; 0.969683; 0.920137; 0.384806; 0.232199; 0.745561; 0
2370; 55.695; 7.1999; 0.804889; 0; 0.804889; 0.0558205; 0.969457; 0.91903; 0.38394; 0.230794; 0.744911; 0
2400; 55.835; 7.17388; 0.804692; 0; 0.804692; 0.0562453; 0.969399; 0.919278; 0.383771; 0.230969; 0.744047; 0
2430; 55.745; 7.14194; 0.804719; 0; 0.804719; 0.055985; 0.969375; 0.918188; 0.385304; 0.232793; 0.74481; 0
2460; 55.815; 7.19623; 0.805983; 0; 0.805983; 0.0562037; 0.969694; 0.919026; 0.383951; 0.231314; 0.744515; 0
2490; 56.415; 7.19429; 0.804806; 0; 0.804806; 0.055252; 0.969912; 0.920117; 0.383861; 0.231176; 0.74546; 0
2520; 56.34; 7.19745; 0.80488; 0; 0.80488; 0.0565868; 0.969613; 0.918424; 0.384502; 0.231178; 0.743935; 0
2550; 56.38; 7.21459; 0.804824; 0; 0.804824; 0.0564181; 0.969595; 0.919628; 0.38465; 0.231358; 0.744011; 0
2580; 56.12; 7.21785; 0.804882; 0; 0.804882; 0.0560475; 0.969793; 0.918245; 0.382262; 0.229895; 0.745648; 0
2610; 56.8; 7.21929; 0.805542; 0; 0.805542; 0.0564057; 0.969586; 0.918422; 0.384336; 0.231378; 0.74408; 0
2640; 56.36; 7.21204; 0.804246; 0; 0.804246; 0.0553977; 0.969769; 0.919348; 0.381889; 0.229504; 0.745917; 0
2670; 56.245; 7.22653; 0.804108; 0; 0.804108; 0.0559538; 0.969616; 0.918572; 0.382582; 0.229757; 0.746217; 0
2700; 56.495; 7.20806; 0.804791; 0; 0.804791; 0.0557455; 0.969797; 0.919386; 0.382972; 0.230371; 0.746099; 0
2730; 56.4; 7.21612; 0.805289; 0; 0.805289; 0.0555935; 0.969964; 0.919924; 0.384446; 0.231532; 0.745471; 0
2760; 56.455; 7.19663; 0.80513; 0; 0.80513; 0.0557247; 0.970036; 0.918981; 0.38333; 0.231227; 0.745297; 0
