### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
1200; 25.695; 6.26286; 0.612697; 0.296474; 0.316222; 0.115598; 0.921568; 0.882251; 0.381518; 0.237169; 0.791498; 1
1230; 25.615; 6.23622; 0.613673; 0.297226; 0.316447; 0.115029; 0.921509; 0.877998; 0.383026; 0.238824; 0.791995; 1
1260; 25.515; 6.26184; 0.613424; 0.297585; 0.315839; 0.114856; 0.921072; 0.880146; 0.384032; 0.239097; 0.788588; 1
1290; 25.185; 6.21765; 0.614893; 0.298568; 0.316325; 0.116; 0.920209; 0.878517; 0.384142; 0.239615; 0.790816; 1
1320; 25.175; 6.22367; 0.616117; 0.299595; 0.316522; 0.11597; 0.919788; 0.884485; 0.383567; 0.239619; 0.792657; 1
1350; 24.99; 6.26816; 0.616674; 0.300243; 0.316431; 0.115964; 0.919843; 0.877843; 0.381158; 0.23739; 0.792522; 1
1380; 25.075; 6.24541; 0.617637; 0.300911; 0.316727; 0.115858; 0.920328; 0.878118; 0.382949; 0.238805; 0.791979; 1
1410; 25.15; 6.2699; 0.618437; 0.301705; 0.316732; 0.115233; 0.920187; 0.883039; 0.383144; 0.238694; 0.79151; 1
1440; 25.045; 6.28878; 0.618106; 0.301733; 0.316373; 0.114479; 0.92073; 0.881685; 0.380739; 0.236922; 0.792239; 1
1470; 25.31; 6.28643; 0.618279; 0.301978; 0.316301; 0.114448; 0.921007; 0.88597; 0.380731; 0.236644; 0.792933; 1
1500; 25.17; 6.28806; 0.618994; 0.302552; 0.316442; 0.113828; 0.921031; 0.885547; 0.381006; 0.236591; 0.792711; 1
1530; 24.965; 6.29827; 0.619486; 0.303044; 0.316442; 0.114; 0.920791; 0.884132; 0.381385; 0.236806; 0.791971; 1
1560; 24.97; 6.3052; 0.619866; 0.303222; 0.316644; 0.113636; 0.921127; 0.881484; 0.38026; 0.23606; 0.793121; 1
1590; 24.84; 6.32653; 0.62018; 0.303696; 0.316484; 0.111997; 0.921665; 0.890209; 0.381547; 0.236814; 0.791565; 1
1620; 24.685; 6.30561; 0.620933; 0.3042; 0.316733; 0.113322; 0.92141; 0.891691; 0.38183; 0.237267; 0.792223; 1
1650; 24.525; 6.33439; 0.621243; 0.304453; 0.31679; 0.113388; 0.921484; 0.88949; 0.380604; 0.236722; 0.791338; 1
1680; 24.57; 6.31878; 0.621621; 0.304931; 0.31669; 0.113907; 0.920771; 0.890934; 0.380841; 0.236953; 0.79272; 1
1710; 24.54; 6.35418; 0.622084; 0.305387; 0.316697; 0.114511; 0.920336; 0.888144; 0.380433; 0.236555; 0.792825; 1
1740; 24.375; 6.32184; 0.621591; 0.305249; 0.316342; 0.113713; 0.920655; 0.892659; 0.380937; 0.236753; 0.791463; 1
1770; 24.265; 6.34908; 0.622572; 0.305981; 0.31659; 0.114386; 0.920579; 0.888742; 0.37863; 0.235065; 0.793518; 1
1800; 24.275; 6.32286; 0.622861; 0.306064; 0.316797; 0.113721; 0.920604; 0.89005; 0.3795; 0.235761; 0.793401; 1
1830; 24.06; 6.32255; 0.623565; 0.306622; 0.316943; 0.114227; 0.920489; 0.887848; 0.381079; 0.23699; 0.792808; 1
1860; 24.34; 6.35194; 0.623253; 0.306668; 0.316585; 0.112597; 0.920851; 0.891713; 0.379065; 0.234883; 0.792993; 1
1890; 24.055; 6.37633; 0.624359; 0.307224; 0.317135; 0.112193; 0.921586; 0.894024; 0.379569; 0.235282; 0.792966; 1
1920; 24.205; 6.34806; 0.624465; 0.30742; 0.317046; 0.112747; 0.921236; 0.889185; 0.378621; 0.235162; 0.793847; 1
1950; 24.335; 6.32888; 0.624468; 0.307591; 0.316876; 0.11319; 0.921475; 0.891903; 0.379933; 0.235777; 0.792465; 1
1980; 24.065; 6.36123; 0.624896; 0.307989; 0.316907; 0.113505; 0.921034; 0.884861; 0.378134; 0.234665; 0.794253; 1
2010; 24.21; 6.38664; 0.625714; 0.308514; 0.3172; 0.113707; 0.921601; 0.892441; 0.380006; 0.235648; 0.792289; 1
2040; 24.27; 6.37092; 0.626399; 0.308975; 0.317423; 0.111316; 0.921598; 0.88828; 0.380225; 0.23602; 0.792504; 1
2070; 24.095; 6.36112; 0.626118; 0.309301; 0.316818; 0.112307; 0.921216; 0.894468; 0.381227; 0.236401; 0.791472; 1
2100; 23.865; 6.34704; 0.627421; 0.310262; 0.317159; 0.113063; 0.920303; 0.889569; 0.38067; 0.236918; 0.792762; 1
2130; 23.91; 6.35061; 0.627384; 0.310499; 0.316885; 0.113626; 0.920453; 0.887736; 0.377189; 0.234341; 0.794632; 1
2160; 24.015; 6.36051; 0.627652; 0.310768; 0.316884; 0.111204; 0.921443; 0.888496; 0.379527; 0.235241; 0.792661; 1
2190; 23.715; 6.40194; 0.628032; 0.311163; 0.316869; 0.110348; 0.921714; 0.894271; 0.377886; 0.234361; 0.792622; 1
2220; 23.665; 6.37602; 0.628032; 0.311351; 0.316682; 0.110158; 0.923869; 0.889183; 0.376835; 0.233444; 0.793238; 1
2250; 23.7; 6.39633; 0.629138; 0.312211; 0.316927; 0.110362; 0.923335; 0.892041; 0.377157; 0.233423; 0.792752; 1
2280; 23.385; 6.37398; 0.629173; 0.312318; 0.316855; 0.111662; 0.923086; 0.889222; 0.376629; 0.233237; 0.792868; 1
2310; 23.52; 6.39419; 0.629353; 0.312361; 0.316992; 0.109307; 0.923668; 0.895155; 0.376491; 0.233135; 0.792501; 1
2340; 23.26; 6.36643; 0.62958; 0.31259; 0.31699; 0.109863; 0.923391; 0.893986; 0.376606; 0.232806; 0.79375; 1
2370; 23.075; 6.39633; 0.62955; 0.312849; 0.316701; 0.110804; 0.922799; 0.890797; 0.374808; 0.231946; 0.793891; 1
2400; 23.04; 6.35388; 0.630282; 0.313122; 0.31716; 0.111283; 0.923079; 0.893636; 0.377751; 0.233564; 0.793094; 1
2430; 22.995; 6.36418; 0.630721; 0.313521; 0.3172; 0.110729; 0.923253; 0.894117; 0.377026; 0.233381; 0.794277; 1
2460; 23.03; 6.35041; 0.630813; 0.313677; 0.317136; 0.111075; 0.922812; 0.894746; 0.379009; 0.234613; 0.79304; 1
2490; 22.91; 6.39929; 0.630588; 0.313643; 0.316946; 0.110285; 0.923023; 0.89396; 0.374721; 0.231729; 0.794239; 1
2520; 22.98; 6.40092; 0.631024; 0.313923; 0.317101; 0.110583; 0.923318; 0.891725; 0.374646; 0.231386; 0.794978; 1
2550; 22.905; 6.36428; 0.630682; 0.313949; 0.316733; 0.111035; 0.922898; 0.891835; 0.376364; 0.232478; 0.79415; 1
2580; 22.89; 6.39408; 0.630667; 0.31402; 0.316648; 0.110054; 0.922783; 0.893429; 0.374098; 0.231065; 0.79559; 1
2610; 22.885; 6.38612; 0.631643; 0.314496; 0.317147; 0.110929; 0.922358; 0.892013; 0.375096; 0.231995; 0.795344; 1
2640; 22.875; 6.42398; 0.631597; 0.314595; 0.317001; 0.110352; 0.922861; 0.892858; 0.373892; 0.23065; 0.795318; 1
2670; 23.09; 6.39347; 0.631305; 0.314604; 0.316702; 0.110539; 0.922535; 0.891506; 0.374902; 0.231095; 0.795653; 1
2700; 22.91; 6.38286; 0.631203; 0.314726; 0.316477; 0.109294; 0.922936; 0.896856; 0.373851; 0.230848; 0.796527; 1
2730; 22.79; 6.40429; 0.631396; 0.314827; 0.316569; 0.109307; 0.922706; 0.889292; 0.375648; 0.23161; 0.793784; 1
2760; 23.02; 6.40674; 0.631744; 0.315136; 0.316608; 0.109821; 0.922686; 0.89343; 0.3743; 0.230824; 0.79516; 1
2790; 22.88; 6.40735; 0.632039; 0.31544; 0.316599; 0.110594; 0.922296; 0.893527; 0.373538; 0.230475; 0.796448; 1
2820; 22.81; 6.41092; 0.632303; 0.315668; 0.316635; 0.110267; 0.922462; 0.890601; 0.374863; 0.231199; 0.795418; 1
2850; 22.78; 6.39969; 0.632547; 0.315919; 0.316628; 0.110115; 0.92231; 0.896126; 0.374398; 0.231307; 0.796268; 1
2880; 22.585; 6.42469; 0.63267; 0.316001; 0.316669; 0.110562; 0.922423; 0.896255; 0.374348; 0.230878; 0.794886; 1
2910; 22.57; 6.40867; 0.633596; 0.316567; 0.317029; 0.110893; 0.922199; 0.893146; 0.375731; 0.231941; 0.796388; 1
2940; 22.67; 6.39551; 0.633424; 0.316593; 0.316831; 0.112595; 0.921748; 0.893421; 0.37403; 0.23121; 0.796796; 1
2970; 22.605; 6.39755; 0.633864; 0.316892; 0.316972; 0.110904; 0.9216; 0.892594; 0.375872; 0.232268; 0.795365; 1
0; 9.975; 4.09643; 0.448757; 0.201586; 0.247171; 0.117859; 0.895345; 0.9905; 0.336881; 0.222461; 0.903253; 3
30; 11.86; 4.58867; 0.529569; 0.221496; 0.308073; 0.191256; 0.89332; 0.780981; 0.460556; 0.315769; 0.760985; 3
60; 33.615; 5.15531; 0.538215; 0.226604; 0.31161; 0.143349; 0.929034; 0.831004; 0.433759; 0.286921; 0.762381; 3
90; 43.02; 5.47939; 0.544126; 0.230721; 0.313405; 0.114921; 0.942842; 0.853042; 0.420868; 0.272924; 0.761517; 3
120; 47.35; 5.64235; 0.548916; 0.234686; 0.314229; 0.10115; 0.949122; 0.8662; 0.412982; 0.26533; 0.763433; 3
