### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
1230; 19; 4.26531; 0.402618; 0.12145; 0.281168; 0.161599; 0.879347; 0.84289; 0.398584; 0.253627; 0.822724; 0
1260; 17; 4.10204; 0.402284; 0.120599; 0.281685; 0.142441; 0.88246; 0.843515; 0.44065; 0.284456; 0.798614; 0
1290; 16; 4.18367; 0.411752; 0.120748; 0.291003; 0.154935; 0.891721; 0.886352; 0.463557; 0.300113; 0.794409; 0
1320; 15; 4.34694; 0.411393; 0.119858; 0.291535; 0.146189; 0.891306; 0.907334; 0.436901; 0.284907; 0.794501; 0
1350; 14; 4.18367; 0.407399; 0.120995; 0.286404; 0.16868; 0.881548; 0.839671; 0.426489; 0.271936; 0.814124; 0
1380; 16; 4.04082; 0.409859; 0.120512; 0.289348; 0.194502; 0.880384; 0.836365; 0.447314; 0.292744; 0.806744; 0
1410; 19; 4.20408; 0.411195; 0.120438; 0.290757; 0.193253; 0.870804; 0.822743; 0.401499; 0.258141; 0.820248; 0
1440; 18; 3.85714; 0.409705; 0.117185; 0.29252; 0.152436; 0.88772; 0.817162; 0.483549; 0.323751; 0.767728; 0
1470; 20; 4.34694; 0.413025; 0.119711; 0.293314; 0.179092; 0.878308; 0.768731; 0.441483; 0.283793; 0.795567; 0
1500; 21; 4.38775; 0.401994; 0.117607; 0.284387; 0.144107; 0.891113; 0.797463; 0.412745; 0.257563; 0.784552; 0
1530; 20; 4.38776; 0.405005; 0.11825; 0.286755; 0.148688; 0.888383; 0.844405; 0.433569; 0.282935; 0.773628; 0
1560; 17; 3.93878; 0.407015; 0.123156; 0.28386; 0.167847; 0.871453; 0.757341; 0.457309; 0.297869; 0.789547; 0
1590; 22; 4.18367; 0.409362; 0.120293; 0.289069; 0.169513; 0.880277; 0.784957; 0.411079; 0.263751; 0.825859; 0
1620; 22; 4.12245; 0.409114; 0.121606; 0.287508; 0.133278; 0.887261; 0.813674; 0.44065; 0.290789; 0.797816; 0
1650; 19; 3.79592; 0.410053; 0.121725; 0.288328; 0.140358; 0.88403; 0.795003; 0.461474; 0.306046; 0.792726; 0
1680; 20; 4.16327; 0.407924; 0.120277; 0.287646; 0.15202; 0.881482; 0.779116; 0.438984; 0.279161; 0.792854; 0
