### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
1200; 27.51; 6.25551; 0.608988; 0.29321; 0.315778; 0.111508; 0.926702; 0.879734; 0.382374; 0.237951; 0.788443; 5
1230; 27.275; 6.29122; 0.609628; 0.293603; 0.316024; 0.10914; 0.927127; 0.880543; 0.383163; 0.238101; 0.787858; 5
1260; 27.205; 6.28643; 0.610091; 0.294129; 0.315962; 0.109375; 0.927055; 0.881944; 0.382014; 0.237826; 0.788; 5
1290; 27.005; 6.27296; 0.610661; 0.294648; 0.316013; 0.10909; 0.926771; 0.882186; 0.38344; 0.238745; 0.788994; 5
1320; 26.89; 6.26449; 0.610944; 0.295252; 0.315692; 0.111914; 0.925777; 0.882304; 0.381274; 0.23757; 0.78944; 5
1350; 26.585; 6.22459; 0.611979; 0.29576; 0.316219; 0.111585; 0.925991; 0.884064; 0.385381; 0.240133; 0.788976; 5
1380; 26.4; 6.2549; 0.611456; 0.29586; 0.315595; 0.111252; 0.925194; 0.880513; 0.38283; 0.238085; 0.789235; 5
1410; 26.5; 6.26735; 0.612238; 0.296427; 0.315811; 0.10949; 0.925937; 0.880977; 0.383613; 0.238657; 0.78882; 5
1440; 26.615; 6.30541; 0.612431; 0.296795; 0.315636; 0.108648; 0.925778; 0.8819; 0.37979; 0.236011; 0.791867; 5
1470; 26.26; 6.28122; 0.613264; 0.297454; 0.31581; 0.109211; 0.925901; 0.884373; 0.38182; 0.237132; 0.790924; 5
1500; 26.085; 6.30581; 0.614695; 0.298732; 0.315963; 0.110383; 0.925735; 0.884168; 0.381112; 0.236692; 0.790727; 5
1530; 25.795; 6.29439; 0.615267; 0.299363; 0.315904; 0.11031; 0.92427; 0.882224; 0.383315; 0.23873; 0.790093; 5
1560; 25.74; 6.28837; 0.61522; 0.299661; 0.315559; 0.112132; 0.922525; 0.883208; 0.382703; 0.23815; 0.790479; 5
1590; 25.525; 6.28092; 0.615347; 0.299978; 0.31537; 0.11288; 0.922651; 0.885943; 0.38309; 0.238152; 0.791084; 5
1620; 25.295; 6.31071; 0.616092; 0.300462; 0.31563; 0.112436; 0.92233; 0.883727; 0.381787; 0.23761; 0.791338; 5
1650; 25.49; 6.2999; 0.616444; 0.300769; 0.315674; 0.114754; 0.921804; 0.883018; 0.383178; 0.238359; 0.791418; 5
1680; 25.185; 6.28918; 0.616662; 0.301039; 0.315623; 0.11187; 0.921963; 0.890421; 0.381672; 0.23757; 0.792258; 5
1710; 25.015; 6.28153; 0.61715; 0.301424; 0.315726; 0.11212; 0.921582; 0.881501; 0.383917; 0.239272; 0.791809; 5
1740; 25.25; 6.26765; 0.617684; 0.301786; 0.315898; 0.113428; 0.921241; 0.888307; 0.384159; 0.239574; 0.791283; 5
1770; 24.975; 6.28439; 0.617655; 0.301867; 0.315788; 0.111351; 0.922326; 0.885952; 0.382591; 0.238247; 0.792484; 5
1800; 24.92; 6.32041; 0.618028; 0.302279; 0.315749; 0.110616; 0.922783; 0.883774; 0.380125; 0.236838; 0.79277; 5
1830; 25.21; 6.32; 0.617472; 0.302072; 0.3154; 0.111302; 0.922842; 0.883348; 0.381262; 0.236339; 0.791024; 5
1860; 25.255; 6.35041; 0.618672; 0.302826; 0.315847; 0.109379; 0.923586; 0.887294; 0.37995; 0.23557; 0.792003; 5
