### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

time; nVar; meanDU; param
85; 31.16; 2.776; 0.002
90; 25.912; 2.17657; 0.002
95; 21.878; 1.84865; 0.002
100; 19.236; 1.67739; 0.002
105; 17.634; 1.59612; 0.002
110; 16.82; 1.55473; 0.002
115; 16.37; 1.53045; 0.002
120; 16.06; 1.51363; 0.002
125; 15.85; 1.49686; 0.002
130; 15.6; 1.47682; 0.002
135; 15.334; 1.45869; 0.002
140; 15.088; 1.44677; 0.002
145; 14.928; 1.43959; 0.002
150; 14.822; 1.43192; 0.002
155; 14.754; 1.42922; 0.002
160; 14.68; 1.4211; 0.002
165; 14.608; 1.41943; 0.002
170; 14.522; 1.41069; 0.002
175; 14.446; 1.40869; 0.002
180; 14.382; 1.40253; 0.002
185; 14.338; 1.40192; 0.002
190; 14.294; 1.39775; 0.002
195; 14.274; 1.39959; 0.002
0; 50; 31.3992; 0.004
5; 50.01; 29.5788; 0.004
10; 50.036; 28.2517; 0.004
15; 50.05; 27.4744; 0.004
20; 50.078; 27.0682; 0.004
25; 50.1; 26.8685; 0.004
30; 50.124; 26.7692; 0.004
35; 50.132; 26.7163; 0.004
40; 50.152; 26.69; 0.004
45; 50.18; 26.6749; 0.004
50; 50.214; 26.667; 0.004
55; 50.224; 26.6623; 0.004
60; 50.242; 26.6598; 0.004
65; 50.256; 26.6569; 0.004
70; 50.28; 26.6534; 0.004
75; 50.304; 26.6499; 0.004
80; 50.328; 26.6468; 0.004
85; 50.346; 26.6446; 0.004
90; 50.362; 26.6434; 0.004
95; 50.38; 26.6413; 0.004
100; 50.398; 26.6385; 0.004
105; 50.41; 26.6372; 0.004
110; 50.43; 26.636; 0.004
115; 50.462; 26.6335; 0.004
120; 50.492; 26.6309; 0.004
125; 50.504; 26.6299; 0.004
130; 50.53; 26.6287; 0.004
135; 50.54; 26.6275; 0.004
140; 50.57; 26.6263; 0.004
145; 50.598; 26.6258; 0.004
