NDU;Reference;Data;Specie
0,029;Peroni (2004);2001;Manioc
0,029;Peroni (2004);2001;Manioc
0,029;Peroni (2004);2001;Manioc
0,029;Peroni (2004);2001;Manioc
0,029;Peroni (2004);2001;Manioc
0,029;Peroni (2004);2001;Manioc
0,029;Peroni (2004);2001;Manioc
0,029;Peroni (2004);2001;Manioc
0,029;Peroni (2004);2001;Manioc
0,029;Peroni (2004);2001;Manioc
0,029;Peroni (2004);2001;Manioc
0,029;Peroni (2004);2001;Manioc
0,029;Peroni (2004);2001;Manioc
0,029;Peroni (2004);2001;Manioc
1,000;Pujol et al (2007). 1998;1998;Manioc
0,750;Pujol et al (2007). 1998;1998;Manioc
0,750;Pujol et al (2007). 1998;1998;Manioc
0,750;Pujol et al (2007). 1998;1998;Manioc
0,750;Pujol et al (2007). 1998;1998;Manioc
0,500;Pujol et al (2007). 1998;1998;Manioc
0,500;Pujol et al (2007). 1998;1998;Manioc
0,250;Pujol et al (2007). 1998;1998;Manioc
0,250;Pujol et al (2007). 1998;1998;Manioc
0,250;Pujol et al (2007). 1998;1998;Manioc
1,000;Pujol et al (2007). 2002;2002;Manioc
1,000;Pujol et al (2007). 2002;2002;Manioc
0,750;Pujol et al (2007). 2002;2002;Manioc
0,250;Pujol et al (2007). 2002;2002;Manioc
0,250;Pujol et al (2007). 2002;2002;Manioc
0,250;Pujol et al (2007). 2002;2002;Manioc
0,250;Pujol et al (2007). 2002;2002;Manioc
0,353;Seixas (2008);2008;Manioc
0,235;Seixas (2008);2008;Manioc
0,206;Seixas (2008);2008;Manioc
0,147;Seixas (2008);2008;Manioc
0,147;Seixas (2008);2008;Manioc
0,118;Seixas (2008);2008;Manioc
0,088;Seixas (2008);2008;Manioc
0,059;Seixas (2008);2008;Manioc
0,029;Seixas (2008);2008;Manioc
0,029;Seixas (2008);2008;Manioc
0,029;Seixas (2008);2008;Manioc
0,029;Seixas (2008);2008;Manioc
0,029;Seixas (2008);2008;Manioc
0,029;Seixas (2008);2008;Manioc
0,029;Seixas (2008);2008;Manioc
0,029;Seixas (2008);2008;Manioc
0,029;Seixas (2008);2008;Manioc
0,029;Seixas (2008);2008;Manioc
