### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 500, TIMEINTERVAL = 5, NRUN = 500 ###

DU;Type;difference;Time
4;0;0.0112389;0
4;1;0.244331;0
28;0;0.0222664;0
28;1;0.232181;0
11;0;0.0228128;0
11;1;0.230473;0
15;0;0.0257141;0
15;1;0.223402;0
24;0;0.00894326;0
24;1;0.246651;0
35;0;0.0246508;0
35;1;0.248334;0
17;0;-0.0155925;0
17;1;0.21891;0
36;0;0.00482279;0
36;1;0.24108;0
26;0;0.00575227;0
26;1;0.264103;0
48;0;0.0240463;0
48;1;0.24108;0
33;0;0.032113;0
33;1;0.248334;0
39;0;0.0134118;0
39;1;0.253662;0
19;0;0.0155925;0
19;1;0.247937;0
2;0;0.00477871;0
2;1;0.25614;0
47;0;-0.00366992;0
47;1;0.238762;0
41;0;0.0111431;0
41;1;0.238573;0
25;0;0.00451621;0
25;1;0.248334;0
18;0;0.0324529;0
18;1;0.249191;0
32;0;0.012399;0
32;1;0.255919;0
40;0;0.0169414;0
40;1;0.236354;0
5;0;-0.0112389;0
5;1;0.227212;0
21;0;-0.00921834;0
21;1;0.23066;0
7;0;0.0322495;0
7;1;0.24604;0
12;0;0.0239725;0
12;1;0.223534;0
14;0;0.0176766;0
14;1;0.236784;0
42;0;0.00249821;0
42;1;0.247281;0
27;0;0.00633773;0
27;1;0.248403;0
6;0;0.0278556;0
6;1;0.243795;0
45;0;0.0165126;0
45;1;0.22172;0
44;0;0.00112954;0
44;1;0.232262;0
30;0;0.022069;0
30;1;0.237646;0
38;0;0.0309095;0
38;1;0.243795;0
13;0;-0.0176766;0
13;1;0.249372;0
37;0;-0.00123206;0
37;1;0.218077;0
3;0;0.0206871;0
3;1;0.240755;0
16;0;0.0191278;0
16;1;0.269839;0
29;0;-0.00633773;0
29;1;0.237701;0
43;0;0.0226773;0
43;1;0.226271;0
9;0;-0.00427151;0
9;1;0.24934;0
22;0;0.00929597;0
22;1;0.241452;0
8;0;0.0233186;0
8;1;0.24108;0
23;0;0.0258706;0
23;1;0.245869;0
20;0;0.033325;0
20;1;0.243933;0
34;0;-0.00482279;0
34;1;0.238694;0
1;0;-0.00477871;0
1;1;0.250413;0
10;0;0.00427151;0
10;1;0.246895;0
31;0;0.027014;0
31;1;0.249994;0
0;0;0.0130291;0
0;1;0.247937;0
46;0;0.00366992;0
46;1;0.250477;0
26;0;0.00201172;1
26;1;0.255919;1
6;0;0.0283475;1
6;1;0.24105;1
17;0;-0.014263;1
17;1;0.212137;1
39;0;0.00969687;1
39;1;0.23922;1
11;0;0.026267;1
11;1;0.230473;1
10;0;0.0052059;1
10;1;0.239176;1
19;0;0.014263;1
19;1;0.246537;1
3;0;0.0248908;1
3;1;0.240755;1
41;0;0.015136;1
41;1;0.238573;1
13;0;-0.0107599;1
13;1;0.249372;1
27;0;0.010721;1
27;1;0.248403;1
31;0;0.0283127;1
31;1;0.247824;1
23;0;0.0258706;1
23;1;0.245869;1
0;0;0.0153325;1
0;1;0.247937;1
29;0;-0.010721;1
29;1;0.216907;1
44;0;0.0008066;1
44;1;0.229517;1
1;0;-0.00446746;1
1;1;0.24559;1
36;0;0.00482279;1
