### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 0, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

time; nVar; meanDU
0; 50; 31.8571
5; 50; 29.4898
10; 50; 26.5918
15; 50; 24.0816
20; 50; 21.4286
25; 50; 19
30; 50; 16.3265
35; 50; 13.8776
40; 49; 11.4286
45; 49; 8.73469
50; 44; 6.26531
55; 43; 4.44898
60; 36; 3.36735
65; 30; 2.55102
70; 22; 2.14286
75; 18; 2.02041
80; 18; 1.83673
85; 16; 1.63265
90; 13; 1.63265
95; 11; 1.55102
100; 11; 1.55102
105; 11; 1.42857
110; 10; 1.44898
115; 10; 1.36735
120; 10; 1.40816
125; 10; 1.32653
130; 10; 1.36735
135; 10; 1.30612
140; 10; 1.36735
145; 10; 1.30612
150; 10; 1.36735
155; 10; 1.28571
160; 10; 1.34694
165; 10; 1.28571
170; 10; 1.34694
175; 10; 1.28571
180; 10; 1.34694
185; 10; 1.28571
190; 10; 1.34694
195; 10; 1.28571
