### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

time; nVar; meanDU; param
590; 19.914; 3.19344; 36
600; 19.914; 3.19311; 36
610; 19.914; 3.19239; 36
620; 19.92; 3.19172; 36
630; 19.918; 3.19072; 36
640; 19.912; 3.19005; 36
650; 19.914; 3.19033; 36
660; 19.916; 3.19033; 36
670; 19.916; 3.19017; 36
680; 19.92; 3.18961; 36
690; 19.922; 3.18905; 36
700; 19.918; 3.18872; 36
710; 19.924; 3.18805; 36
720; 19.93; 3.18755; 36
730; 19.928; 3.18739; 36
740; 19.932; 3.18717; 36
750; 19.942; 3.18683; 36
760; 19.932; 3.18655; 36
770; 19.934; 3.18611; 36
780; 19.93; 3.18539; 36
790; 19.936; 3.18533; 36
800; 19.942; 3.18489; 36
810; 19.944; 3.18467; 36
820; 19.95; 3.18383; 36
830; 19.95; 3.18367; 36
840; 19.96; 3.18256; 36
850; 19.952; 3.18161; 36
860; 19.948; 3.18161; 36
870; 19.954; 3.18133; 36
880; 19.96; 3.18094; 36
890; 19.954; 3.18033; 36
900; 19.95; 3.17967; 36
910; 19.95; 3.17883; 36
920; 19.956; 3.17878; 36
930; 19.958; 3.17878; 36
940; 19.964; 3.17811; 36
950; 19.966; 3.17722; 36
960; 19.966; 3.177; 36
970; 19.97; 3.17644; 36
980; 19.97; 3.17611; 36
990; 19.972; 3.17544; 36
0; 49.85; 31.3632; 49
10; 49.856; 23.2542; 49
20; 49.616; 15.8733; 49
30; 44.66; 9.26914; 49
40; 35.722; 5.31061; 49
50; 27.928; 4.15114; 49
60; 23.696; 3.86322; 49
70; 22.74; 3.76988; 49
80; 22.428; 3.72964; 49
90; 22.302; 3.70992; 49
100; 22.216; 3.70049; 49
110; 22.17; 3.69682; 49
120; 22.168; 3.69364; 49
130; 22.156; 3.69127; 49
140; 22.154; 3.68874; 49
150; 22.158; 3.68662; 49
160; 22.158; 3.68457; 49
170; 22.158; 3.68392; 49
180; 22.154; 3.68319; 49
190; 22.162; 3.68294; 49
200; 22.16; 3.68274; 49
210; 22.158; 3.68241; 49
220; 22.166; 3.68204; 49
230; 22.17; 3.68196; 49
240; 22.176; 3.68139; 49
250; 22.168; 3.68086; 49
260; 22.178; 3.68053; 49
270; 22.186; 3.67984; 49
280; 22.192; 3.67951; 49
290; 22.196; 3.67841; 49
300; 22.196; 3.67723; 49
310; 22.212; 3.67629; 49
320; 22.204; 3.6758; 49
330; 22.214; 3.67527; 49
340; 22.22; 3.67478; 49
350; 22.232; 3.67466; 49
360; 22.228; 3.67404; 49
370; 22.234; 3.67286; 49
380; 22.23; 3.67208; 49
390; 22.234; 3.67172; 49
400; 22.24; 3.67127; 49
410; 22.228; 3.67078; 49
420; 22.242; 3.67053; 49
430; 22.244; 3.67004; 49
440; 22.254; 3.66968; 49
450; 22.258; 3.66906; 49
460; 22.26; 3.66878; 49
470; 22.26; 3.66784; 49
480; 22.272; 3.66694; 49
490; 22.27; 3.66653; 49
500; 22.274; 3.66637; 49
510; 22.278; 3.66584; 49
520; 22.28; 3.66551; 49
530; 22.284; 3.66559; 49
540; 22.294; 3.66543; 49
550; 22.29; 3.66527; 49
560; 22.296; 3.66494; 49
570; 22.308; 3.66457; 49
580; 22.32; 3.66449; 49
590; 22.32; 3.66404; 49
600; 22.328; 3.66351; 49
610; 22.328; 3.66323; 49
620; 22.326; 3.66315; 49
630; 22.33; 3.66253; 49
640; 22.334; 3.66164; 49
650; 22.338; 3.66111; 49
660; 22.338; 3.66102; 49
670; 22.348; 3.66082; 49
680; 22.356; 3.66017; 49
690; 22.354; 3.65943; 49
700; 22.354; 3.65964; 49
710; 22.358; 3.65923; 49
720; 22.364; 3.65886; 49
730; 22.362; 3.65845; 49
740; 22.362; 3.65813; 49
750; 22.37; 3.6578; 49
760; 22.362; 3.65719; 49
770; 22.362; 3.65694; 49
780; 22.368; 3.65588; 49
790; 22.37; 3.65588; 49
800; 22.382; 3.65421; 49
810; 22.386; 3.65343; 49
820; 22.398; 3.65212; 49
830; 22.398; 3.65082; 49
840; 22.4; 3.64955; 49
850; 22.404; 3.64796; 49
860; 22.404; 3.64698; 49
870; 22.408; 3.64617; 49
880; 22.414; 3.64535; 49
890; 22.424; 3.64498; 49
900; 22.42; 3.64482; 49
910; 22.428; 3.64445; 49
920; 22.428; 3.64429; 49
930; 22.434; 3.64429; 49
940; 22.44; 3.64359; 49
950; 22.452; 3.64331; 49
960; 22.45; 3.64306; 49
970; 22.456; 3.64265; 49
980; 22.456; 3.64163; 49
990; 22.454; 3.64151; 49
0; 49.836; 36.1681; 64
10; 49.844; 29.1281; 64
20; 49.874; 22.5778; 64
30; 48.922; 16.3478; 64
40; 44.56; 10.6507; 64
50; 38.148; 6.73819; 64
60; 31.752; 5.07831; 64
