### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

time; nVar; meanDU; param
410; 15.176; 1.97555; 0.025
420; 15.188; 1.97535; 0.025
430; 15.182; 1.97518; 0.025
440; 15.19; 1.97474; 0.025
450; 15.184; 1.97461; 0.025
460; 15.194; 1.9742; 0.025
470; 15.186; 1.97412; 0.025
480; 15.188; 1.97376; 0.025
490; 15.184; 1.97367; 0.025
500; 15.184; 1.97371; 0.025
510; 15.192; 1.97339; 0.025
520; 15.188; 1.97302; 0.025
530; 15.19; 1.97286; 0.025
540; 15.196; 1.97302; 0.025
550; 15.194; 1.9729; 0.025
560; 15.194; 1.97273; 0.025
570; 15.194; 1.97253; 0.025
580; 15.19; 1.97208; 0.025
590; 15.194; 1.97212; 0.025
600; 15.202; 1.9722; 0.025
610; 15.196; 1.97184; 0.025
620; 15.196; 1.97155; 0.025
630; 15.2; 1.97147; 0.025
640; 15.194; 1.97135; 0.025
650; 15.198; 1.97114; 0.025
660; 15.196; 1.97106; 0.025
670; 15.198; 1.97098; 0.025
680; 15.202; 1.97086; 0.025
690; 15.192; 1.97049; 0.025
700; 15.198; 1.97049; 0.025
710; 15.2; 1.97045; 0.025
720; 15.202; 1.97024; 0.025
730; 15.2; 1.97004; 0.025
740; 15.202; 1.9698; 0.025
750; 15.208; 1.96975; 0.025
760; 15.2; 1.96902; 0.025
770; 15.208; 1.96926; 0.025
780; 15.204; 1.96926; 0.025
790; 15.208; 1.96902; 0.025
800; 15.208; 1.96877; 0.025
810; 15.212; 1.96873; 0.025
820; 15.204; 1.96865; 0.025
830; 15.2; 1.96869; 0.025
840; 15.208; 1.96841; 0.025
850; 15.208; 1.96841; 0.025
860; 15.212; 1.96833; 0.025
870; 15.208; 1.96796; 0.025
880; 15.222; 1.9678; 0.025
890; 15.218; 1.96763; 0.025
900; 15.226; 1.96771; 0.025
910; 15.224; 1.96759; 0.025
