### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 500, TIMEINTERVAL = 5, NRUN = 500 ###

time; nVar; meanDU
0; 50; 31.5306
5; 50; 28.5918
10; 50; 25.5714
15; 50; 22.4286
20; 50; 19.1429
25; 47; 15.9184
30; 43; 13.1429
35; 42; 10.3878
40; 42; 8.20408
45; 41; 6.87755
50; 39; 6.08163
55; 36; 5.57143
60; 34; 5.20408
65; 32; 4.91837
70; 32; 4.65306
75; 31; 4.2449
80; 31; 3.97959
85; 30; 3.59184
90; 29; 3.53061
95; 29; 3.44898
100; 28; 3.44898
105; 28; 3.40816
110; 28; 3.42857
115; 28; 3.40816
120; 28; 3.42857
125; 28; 3.40816
130; 28; 3.42857
135; 28; 3.38776
140; 28; 3.38776
145; 27; 3.34694
150; 27; 3.36735
155; 27; 3.34694
160; 27; 3.36735
165; 27; 3.34694
170; 27; 3.36735
175; 27; 3.34694
180; 27; 3.36735
185; 27; 3.34694
190; 27; 3.36735
195; 27; 3.34694
200; 27; 3.36735
205; 27; 3.34694
210; 27; 3.36735
215; 27; 3.34694
220; 27; 3.36735
225; 27; 3.34694
230; 27; 3.36735
235; 27; 3.34694
240; 27; 3.36735
245; 27; 3.34694
250; 27; 3.36735
255; 27; 3.34694
260; 27; 3.36735
265; 27; 3.34694
270; 27; 3.36735
275; 27; 3.34694
280; 27; 3.36735
285; 27; 3.34694
290; 27; 3.36735
295; 27; 3.34694
300; 27; 3.36735
305; 27; 3.34694
310; 27; 3.36735
315; 27; 3.34694
320; 27; 3.36735
325; 27; 3.34694
330; 27; 3.36735
335; 27; 3.34694
340; 27; 3.36735
345; 27; 3.34694
350; 27; 3.36735
355; 27; 3.34694
360; 27; 3.36735
365; 27; 3.34694
370; 27; 3.36735
375; 27; 3.34694
380; 27; 3.36735
385; 27; 3.34694
390; 27; 3.36735
395; 27; 3.34694
400; 27; 3.36735
405; 27; 3.34694
410; 27; 3.36735
415; 27; 3.34694
420; 27; 3.36735
425; 27; 3.34694
430; 27; 3.36735
435; 27; 3.34694
440; 27; 3.36735
445; 27; 3.34694
450; 27; 3.36735
455; 27; 3.34694
460; 27; 3.36735
465; 27; 3.34694
470; 27; 3.36735
475; 27; 3.34694
480; 27; 3.36735
485; 27; 3.34694
490; 27; 3.36735
495; 27; 3.34694
