### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

param; nVar; meanDU
0.05; 32.776; 1.28445
0.1; 31.204; 1.3229
0.15; 29.608; 1.35025
0.2; 27.4; 1.39126
0.25; 25.354; 1.4171
0.3; 22.99; 1.42825
0.35; 20.544; 1.42278
0.4; 17.942; 1.38967
0.45; 16.252; 1.39167
0.5; 13.968; 1.34759
0.55; 11.392; 1.32294
0.6; 10.334; 1.31392
0.65; 8.006; 1.25424
0.7; 7.014; 1.22706
0.75; 5.94; 1.19486
0.8; 4.778; 1.25318
0.85; 4.578; 1.94122
0.9; 4.41; 2.22943
0.95; 4.508; 2.49833
1; 4.132; 2.44563
