### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 500, TIMEINTERVAL = 5, NRUN = 500 ###

Type;Source;Target;Time
1;4;4;0
0;27;28;0
1;11;11;0
0;14;15;0
1;24;24;0
1;35;35;0
0;18;17;0
1;36;36;0
0;27;26;0
1;48;48;0
1;33;33;0
1;39;39;0
1;19;19;0
1;2;2;0
0;45;47;0
1;41;41;0
0;27;25;0
1;18;18;0
1;32;32;0
1;40;40;0
1;5;5;0
0;20;21;0
1;7;7;0
0;14;12;0
1;14;14;0
1;42;42;0
1;27;27;0
1;6;6;0
1;45;45;0
1;44;44;0
1;30;30;0
0;39;38;0
0;14;13;0
1;37;37;0
1;3;3;0
0;14;16;0
0;27;29;0
0;45;43;0
1;9;9;0
0;20;22;0
1;8;8;0
1;23;23;0
1;20;20;0
1;34;34;0
0;3;1;0
0;11;10;0
0;30;31;0
1;0;0;0
1;46;46;0
0;27;26;1
1;6;6;1
1;17;17;1
1;39;39;1
1;11;11;1
0;11;10;1
1;19;19;1
1;3;3;1
1;41;41;1
0;14;13;1
1;27;27;1
0;29;31;1
1;23;23;1
1;0;0;1
0;27;29;1
1;44;44;1
0;3;1;1
1;36;36;1
1;37;37;1
0;3;5;1
1;32;32;1
1;46;46;1
1;7;7;1
0;14;15;1
1;45;45;1
1;14;14;1
1;42;42;1
0;14;12;1
0;45;43;1
0;27;28;1
0;20;21;1
0;20;22;1
1;24;24;1
1;30;30;1
1;18;18;1
0;14;16;1
1;9;9;1
1;20;20;1
1;34;34;1
0;39;38;1
0;36;35;1
1;2;2;1
0;27;25;1
1;48;48;1
1;33;33;1
0;41;40;1
0;3;4;1
1;8;8;1
0;45;47;1
0;27;28;2
1;8;8;2
1;45;45;2
1;35;35;2
1;23;23;2
1;11;11;2
1;19;19;2
1;17;17;2
0;20;22;2
1;3;3;2
1;9;9;2
1;43;43;2
1;34;34;2
1;20;20;2
0;48;0;2
1;37;37;2
1;6;6;2
0;29;31;2
1;48;48;2
1;24;24;2
1;47;47;2
1;10;10;2
1;41;41;2
1;18;18;2
1;2;2;2
0;14;15;2
1;39;39;2
0;39;40;2
1;42;42;2
1;44;44;2
0;14;16;2
0;20;21;2
1;46;46;2
0;27;26;2
0;27;25;2
1;27;27;2
0;14;12;2
1;33;33;2
1;4;4;2
1;14;14;2
0;27;29;2
1;36;36;2
1;30;30;2
0;3;1;2
0;14;13;2
0;30;32;2
1;7;7;2
1;5;5;2
0;39;38;2
1;24;24;3
1;23;23;3
0;27;25;3
1;8;8;3
1;27;27;3
1;2;2;3
0;20;22;3
1;5;5;3
0;14;12;3
1;40;40;3
1;7;7;3
1;48;48;3
1;6;6;3
1;9;9;3
1;30;30;3
1;34;34;3
1;44;44;3
1;36;36;3
1;4;4;3
1;10;10;3
0;14;13;3
1;17;17;3
0;27;26;3
1;41;41;3
0;47;0;3
1;11;11;3
1;14;14;3
1;35;35;3
1;37;37;3
1;47;47;3
0;41;43;3
1;33;33;3
0;30;31;3
0;27;28;3
1;45;45;3
1;19;19;3
0;27;29;3
1;39;39;3
0;20;21;3
1;18;18;3
0;14;16;3
0;3;1;3
0;37;38;3
1;20;20;3
0;14;15;3
1;46;46;3
0;30;32;3
1;3;3;3
1;42;42;3
0;41;40;4
1;2;2;4
1;33;33;4
