### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

time; nVar; meanDU
0; 49.842; 31.3396
10; 49.844; 23.2282
20; 49.602; 15.8892
30; 44.628; 9.29955
40; 35.958; 5.42747
50; 28.046; 4.29592
60; 24.232; 4.02359
70; 23.294; 3.93135
80; 22.956; 3.88845
90; 22.768; 3.86874
100; 22.694; 3.8587
110; 22.656; 3.8551
120; 22.644; 3.85131
130; 22.632; 3.84857
140; 22.628; 3.84637
150; 22.618; 3.84551
160; 22.618; 3.84498
170; 22.626; 3.84469
180; 22.628; 3.84355
190; 22.624; 3.84274
200; 22.626; 3.84269
210; 22.628; 3.84196
220; 22.63; 3.84155
230; 22.632; 3.8411
240; 22.638; 3.84094
250; 22.642; 3.84045
260; 22.646; 3.84012
270; 22.65; 3.83971
280; 22.644; 3.83939
290; 22.648; 3.83878
300; 22.652; 3.8382
310; 22.65; 3.83788
320; 22.658; 3.83792
330; 22.662; 3.83775
340; 22.672; 3.83706
350; 22.672; 3.83649
360; 22.678; 3.83612
370; 22.674; 3.83535
380; 22.68; 3.83469
390; 22.69; 3.83412
400; 22.678; 3.83355
410; 22.676; 3.83245
420; 22.688; 3.83155
430; 22.694; 3.83082
440; 22.702; 3.83029
450; 22.702; 3.82967
460; 22.704; 3.82951
470; 22.708; 3.82931
480; 22.708; 3.82902
490; 22.718; 3.82837
500; 22.726; 3.82747
510; 22.722; 3.82682
520; 22.728; 3.82649
530; 22.742; 3.82596
540; 22.748; 3.82535
550; 22.744; 3.82535
560; 22.75; 3.82482
570; 22.752; 3.82453
580; 22.754; 3.82408
590; 22.76; 3.82355
600; 22.762; 3.82314
610; 22.764; 3.82282
620; 22.768; 3.82253
630; 22.776; 3.82212
640; 22.772; 3.82126
650; 22.772; 3.82086
660; 22.78; 3.82069
670; 22.788; 3.82
680; 22.782; 3.81951
690; 22.78; 3.81898
700; 22.786; 3.81849
710; 22.794; 3.81829
720; 22.796; 3.8178
730; 22.798; 3.81747
740; 22.8; 3.81706
750; 22.804; 3.81633
760; 22.81; 3.81608
770; 22.816; 3.8151
780; 22.82; 3.8142
790; 22.814; 3.81388
800; 22.816; 3.81355
810; 22.824; 3.81269
820; 22.826; 3.81208
830; 22.83; 3.81139
840; 22.84; 3.81078
850; 22.848; 3.81
860; 22.842; 3.80931
870; 22.84; 3.80906
880; 22.844; 3.80894
890; 22.852; 3.80849
900; 22.848; 3.80857
910; 22.854; 3.80772
920; 22.858; 3.80694
930; 22.868; 3.80629
940; 22.872; 3.80539
950; 22.87; 3.80453
960; 22.876; 3.80376
970; 22.87; 3.80343
980; 22.876; 3.80278
990; 22.876; 3.80261
