### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

time; nVar; meanDU; param
0; 50; 31.4234; 0
5; 50.008; 29.3021; 0
10; 50.026; 27.0636; 0
15; 50.036; 24.9242; 0
20; 50.05; 22.8704; 0
25; 50.064; 20.902; 0
30; 50.07; 18.9909; 0
35; 50.082; 17.1478; 0
40; 50.092; 15.3685; 0
45; 50.08; 13.6413; 0
50; 50.082; 11.9332; 0
55; 50.082; 10.2881; 0
60; 50.07; 8.68069; 0
65; 50.034; 7.18959; 0
70; 49.858; 5.91514; 0
75; 49.436; 4.93498; 0
80; 48.57; 4.17637; 0
85; 47.418; 3.57939; 0
90; 46.018; 3.06955; 0
95; 44.49; 2.64343; 0
100; 42.89; 2.28167; 0
105; 41.134; 2.00094; 0
110; 39.418; 1.76437; 0
115; 37.678; 1.59424; 0
120; 36.242; 1.46837; 0
125; 35.118; 1.39522; 0
130; 34.308; 1.33914; 0
135; 33.782; 1.31327; 0
140; 33.428; 1.28898; 0
145; 33.218; 1.28269; 0
150; 33.122; 1.27302; 0
155; 33.08; 1.27441; 0
160; 33.034; 1.26808; 0
165; 33; 1.27073; 0
170; 32.982; 1.26608; 0
175; 32.97; 1.26943; 0
180; 32.972; 1.26555; 0
185; 32.964; 1.26898; 0
190; 32.962; 1.26498; 0
195; 32.962; 1.26878; 0
0; 50; 31.4335; 0.25
5; 50.01; 29.2307; 0.25
10; 50.028; 26.9121; 0.25
15; 50.048; 24.6846; 0.25
20; 50.074; 22.5374; 0.25
25; 50.09; 20.4587; 0.25
30; 50.096; 18.4343; 0.25
35; 50.112; 16.4604; 0.25
40; 50.108; 14.5099; 0.25
45; 50.106; 12.594; 0.25
50; 50.112; 10.6942; 0.25
55; 50.092; 8.82796; 0.25
60; 50.002; 7.04885; 0.25
65; 49.442; 5.53221; 0.25
70; 47.704; 4.39412; 0.25
75; 45.148; 3.63575; 0.25
80; 42.428; 3.13694; 0.25
