### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 500, TIMEINTERVAL = 5, NRUN = 500 ###

DU;Type;difference;Time
43;1;0.260676;2
34;0;0.00418741;2
34;1;0.271268;2
20;0;-0.0023157;2
20;1;0.266319;2
0;0;0.0125831;2
0;1;0.267306;2
37;0;0.00454038;2
37;1;0.265714;2
6;0;0.000819802;2
6;1;0.266958;2
31;0;0.0147935;2
31;1;0.22006;2
48;0;0.00289786;2
48;1;0.222989;2
24;0;0.00710499;2
24;1;0.268575;2
47;0;0.00948983;2
47;1;0.270517;2
10;0;0.0087834;2
10;1;0.204961;2
41;0;0.000609815;2
41;1;0.264119;2
18;0;0.0023157;2
18;1;0.226432;2
2;0;0.00882858;2
2;1;0.28639;2
15;0;0.0122887;2
15;1;0.212558;2
39;0;-0.000609815;2
39;1;0.204541;2
40;0;0.0109795;2
40;1;0.211564;2
42;0;0.00870001;2
42;1;0.291792;2
44;0;0.00228995;2
44;1;0.215582;2
16;0;0.0130243;2
16;1;0.265933;2
21;0;0.0163183;2
21;1;0.181245;2
46;0;0.00482213;2
46;1;0.204541;2
26;0;0.0399784;2
26;1;0.231216;2
25;0;0.0255119;2
25;1;0.265636;2
27;0;-0.0170133;2
27;1;0.245626;2
12;0;0.0191819;2
12;1;0.273683;2
33;0;0.00474095;2
33;1;0.258213;2
4;0;0.00739735;2
4;1;0.264452;2
14;0;-0.0122887;2
14;1;0.239848;2
29;0;0.0170133;2
29;1;0.232971;2
36;0;0.000271916;2
36;1;0.21413;2
30;0;0.00121194;2
30;1;0.265882;2
1;0;0.0282117;2
1;1;0.274273;2
13;0;0.0174191;2
13;1;0.282692;2
32;0;0.0105456;2
32;1;0.268575;2
7;0;0.000117719;2
7;1;0.257135;2
5;0;0.00543404;2
5;1;0.225536;2
38;0;0.0299971;2
38;1;0.224757;2
24;0;0.002572;3
24;1;0.264345;3
23;0;-0.002572;3
23;1;0.256138;3
25;0;0.0202665;3
25;1;0.264165;3
8;0;0.00548244;3
8;1;0.232442;3
27;0;-0.0170133;3
27;1;0.245626;3
2;0;0.00865555;3
2;1;0.279326;3
22;0;0.0171879;3
22;1;0.261188;3
5;0;0.00554723;3
5;1;0.211746;3
12;0;0.0243276;3
12;1;0.273683;3
40;0;0.00859135;3
40;1;0.204541;3
7;0;0.00338161;3
7;1;0.257135;3
48;0;0.00296044;3
48;1;0.221047;3
6;0;-0.000386536;3
6;1;0.25416;3
9;0;-0.000337601;3
9;1;0.195549;3
30;0;-0.00436866;3
30;1;0.191002;3
34;0;0.00359064;3
34;1;0.270006;3
44;0;0.00584286;3
44;1;0.215582;3
36;0;0.00101507;3
36;1;0.212982;3
4;0;0.00748944;3
4;1;0.26007;3
10;0;0.009121;3
10;1;0.204961;3
13;0;0.0225648;3
13;1;0.282692;3
17;0;0.00459409;3
17;1;0.268306;3
26;0;0.0367492;3
26;1;0.229104;3
41;0;-0.00418651;3
41;1;0.263678;3
0;0;0.0124638;3
0;1;0.265902;3
11;0;0.000337601;3
11;1;0.215256;3
14;0;-0.0136157;3
14;1;0.218537;3
35;0;0.00546509;3
35;1;0.261004;3
37;0;-8.35657e-05;3
37;1;0.264452;3
47;0;0.00750124;3
47;1;0.264345;3
43;0;0.0115958;3
43;1;0.260676;3
33;0;0.004951;3
33;1;0.237753;3
31;0;0.0191622;3
31;1;0.22006;3
28;0;0.0353917;3
28;1;0.288314;3
45;0;-0.00458974;3
45;1;0.204829;3
19;0;0.00822794;3
19;1;0.237608;3
29;0;0.0170133;3
29;1;0.232971;3
39;0;0.00418651;3
39;1;0.204541;3
21;0;0.0172673;3
21;1;0.1762;3
18;0;0.0025298;3
18;1;0.221966;3
16;0;0.0136157;3
16;1;0.259694;3
1;0;0.0286725;3
1;1;0.273011;3
38;0;0.0300806;3
38;1;0.224757;3
20;0;-0.0025298;3
20;1;0.263493;3
15;0;0.0139063;3
15;1;0.208665;3
46;0;0.00458974;3
46;1;0.186598;3
32;0;0.0119284;3
32;1;0.264345;3
3;0;-0.00554723;3
3;1;0.238261;3
42;0;0.00866985;3
42;1;0.270687;3
40;0;0.0102398;4
40;1;0.194536;4
2;0;0.00851136;4
2;1;0.278064;4
33;0;0.00544691;4
33;1;0.235284;4
6;0;-0.000844002;4
6;1;0.237877;4
1;0;0.0290257;4
1;1;0.268629;4
23;0;-0.002186;4
23;1;0.245277;4
27;0;-0.0195193;4
27;1;0.230122;4
12;0;0.0290651;4
12;1;0.273683;4
19;0;0.00986612;4
19;1;0.237608;4
5;0;0.00592351;4
5;1;0.199325;4
0;0;0.0122225;4
0;1;0.263076;4
45;0;-0.00117487;4
45;1;0.204829;4
44;0;0.00179654;4
44;1;0.213742;4
30;0;-0.00436866;4
30;1;0.191002;4
15;0;0.0150027;4
15;1;0.205939;4
16;0;0.0136926;4
16;1;0.229385;4
38;0;0.0282718;4
38;1;0.214066;4
7;0;0.0033533;4
7;1;0.246802;4
41;0;-0.00556082;4
41;1;0.262262;4
42;0;0.00933683;4
42;1;0.270517;4
34;0;0.00299472;4
34;1;0.265624;4
36;0;-0.00299472;4
36;1;0.212867;4
37;0;0.00365388;4
37;1;0.264452;4
4;0;0.00753629;4
4;1;0.258213;4
21;0;0.0139052;4
21;1;0.173666;4
11;0;0.000600457;4
11;1;0.215256;4
25;0;0.0195193;4
25;1;0.257101;4
22;0;0.0122989;4
22;1;0.24607;4
13;0;0.0227799;4
13;1;0.274366;4
39;0;0.00556082;4
39;1;0.168031;4
28;0;0.0354151;4
28;1;0.267003;4
26;0;0.0382442;4
26;1;0.2277;4
29;0;0.0218872;4
29;1;0.232971;4
46;0;0.00117487;4
46;1;0.178203;4
32;0;0.0119284;4
32;1;0.264345;4
17;0;0.00876206;4
17;1;0.268306;4
24;0;0.0024417;4
24;1;0.252817;4
9;0;0.000719726;4
9;1;0.195549;4
18;0;-0.00163817;4
18;1;0.213634;4
35;0;0.00370377;4
35;1;0.260781;4
8;0;0.00953734;4
8;1;0.232442;4
43;0;0.0130005;4
43;1;0.256446;4
14;0;-0.0136926;4
14;1;0.197657;4
20;0;0.00163817;4
20;1;0.263493;4
48;0;0.0024488;4
48;1;0.216817;4
10;0;0.00589961;4
10;1;0.201041;4
3;0;-0.00592351;4
3;1;0.234042;4
31;0;0.0153978;4
31;1;0.204541;4
47;0;0.00750124;4
47;1;0.264345;4
27;0;-0.0225467;5
27;1;0.216834;5
46;0;0.00492328;5
46;1;0.178203;5
1;0;0.0290257;5
1;1;0.268629;5
12;0;0.0285717;5
12;1;0.24912;5
19;0;0.0140343;5
19;1;0.237608;5
48;0;0.0024488;5
48;1;0.216817;5
22;0;0.012044;5
22;1;0.191002;5
16;0;0.0179914;5
16;1;0.229385;5
31;0;0.0151118;5
31;1;0.193065;5
43;0;0.0146203;5
43;1;0.246113;5
33;0;0.010389;5
33;1;0.235284;5
26;0;0.0393265;5
26;1;0.224874;5
29;0;0.0225467;5
29;1;0.205596;5
42;0;0.0100178;5
42;1;0.267171;5
21;0;0.0148183;5
21;1;0.171629;5
35;0;0.00565112;5
35;1;0.260781;5
25;0;0.0241718;5
25;1;0.257101;5
4;0;0.00753629;5
4;1;0.258213;5
0;0;0.0140828;5
0;1;0.263076;5
8;0;0.00959587;5
8;1;0.229616;5
36;0;0.00194734;5
36;1;0.212867;5
40;0;0.0123023;5
40;1;0.186598;5
18;0;-0.00137001;5
18;1;0.205683;5
38;0;0.0295376;5
38;1;0.214066;5
28;0;0.0400676;5
28;1;0.267003;5
30;0;-0.00359625;5
30;1;0.190492;5
6;0;-0.00312346;5
6;1;0.232682;5
32;0;0.0108169;5
32;1;0.263081;5
5;0;0.00592351;5
5;1;0.199325;5
44;0;0.001297;5
44;1;0.190023;5
24;0;-0.00217873;5
24;1;0.217079;5
47;0;0.00551176;5
47;1;0.260362;5
37;0;-0.00126576;5
37;1;0.26007;5
41;0;-0.0100178;5
41;1;0.239333;5
17;0;0.00810933;5
17;1;0.2456;5
2;0;0.00851136;5
2;1;0.278064;5
23;0;0.00217873;5
23;1;0.245277;5
20;0;0.00137001;5
20;1;0.25316;5
45;0;-0.001297;5
45;1;0.202749;5
9;0;0.00472265;5
9;1;0.19555;5
15;0;0.0193016;5
15;1;0.205939;5
7;0;0.00312346;5
7;1;0.245607;5
39;0;0.0109873;5
39;1;0.168031;5
11;0;0.00124031;5
11;1;0.202836;5
34;0;-0.00194734;5
34;1;0.240838;5
14;0;-0.0179914;5
14;1;0.185549;5
13;0;0.0225318;5
13;1;0.268127;5
10;0;0.0061543;5
10;1;0.199766;5
3;0;-0.00592351;5
3;1;0.234042;5
15;0;0.0154917;6
15;1;0.20048;6
35;0;0.0106117;6
35;1;0.260781;6
6;0;-0.00271565;6
6;1;0.220434;6
18;0;0.00301772;6
18;1;0.205683;6
3;0;-0.00250024;6
3;1;0.234042;6
19;0;0.0129647;6
19;1;0.229385;6
31;0;0.0185606;6
31;1;0.193065;6
27;0;-0.0183691;6
27;1;0.216834;6
11;0;0.00214684;6
11;1;0.184894;6
30;0;-0.00372046;6
30;1;0.180851;6
38;0;0.0312799;6
