### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; fitness; appearence; param
0.525; 0.109617; 0.184451; 0.001
0.575; 0.0907543; 0.140743; 0.001
0.625; 0.0512731; 0.0980299; 0.001
0.675; 0.00526699; 0.0488788; 0.001
0.725; 0.000825482; 0.0198851; 0.001
0.775; 0; 0.00687131; 0.001
0.825; 0; 0.00238484; 0.001
0.875; 0; 0.00046314; 0.001
0.925; 0; 8.82965e-05; 0.001
0.975; 0; 1.66597e-06; 0.001
0.025; 0.0610216; 4.49813e-05; 0.005
0.075; 0.0427768; 0.000131612; 0.005
0.125; 0.0570565; 0.000658892; 0.005
0.175; 0.0630274; 0.00187339; 0.005
0.225; 0.0660059; 0.00728447; 0.005
0.275; 0.0766564; 0.0196743; 0.005
0.325; 0.0929284; 0.046394; 0.005
0.375; 0.0949067; 0.0888171; 0.005
0.425; 0.102069; 0.150245; 0.005
0.475; 0.103526; 0.188745; 0.005
0.525; 0.096112; 0.176774; 0.005
0.575; 0.093889; 0.14646; 0.005
0.625; 0.0419702; 0.0971502; 0.005
0.675; 0.00805911; 0.0442574; 0.005
0.725; 0; 0.0210854; 0.005
0.775; 0; 0.008015; 0.005
0.825; 0; 0.00163182; 0.005
0.875; 0; 0.000493128; 0.005
0.925; 0; 0.000172428; 0.005
0.975; 0; 9.07955e-05; 0.005
