### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 500, TIMEINTERVAL = 5, NRUN = 500 ###

time; nVar; meanDU
0; 50; 31.4082
5; 50; 28.3673
10; 50; 25.1633
15; 50; 22.0612
20; 50; 19.0612
25; 50; 16.2245
30; 46; 13.3265
35; 43; 11.2245
40; 40; 9.59184
45; 38; 8.73469
50; 36; 8
55; 33; 7.61225
60; 31; 7.4898
65; 31; 7.30612
70; 30; 7.10204
75; 30; 6.87755
80; 29; 6.83673
85; 29; 6.63265
90; 29; 6.61224
95; 29; 6.42857
100; 29; 6.40816
105; 29; 6.20408
110; 29; 6.10204
115; 28; 6
120; 28; 5.95918
125; 28; 5.95918
130; 28; 5.95918
135; 28; 5.95918
140; 28; 5.95918
145; 28; 5.95918
150; 28; 5.95918
155; 28; 5.95918
160; 28; 5.95918
165; 28; 5.95918
170; 28; 5.95918
175; 28; 5.95918
180; 28; 5.95918
185; 28; 5.95918
190; 28; 5.95918
195; 28; 5.95918
200; 29; 5.95918
205; 28; 5.95918
210; 28; 5.95918
215; 28; 5.95918
220; 28; 5.95918
225; 28; 5.95918
230; 28; 5.95918
235; 28; 5.95918
240; 28; 5.95918
245; 28; 5.95918
250; 29; 5.95918
255; 28; 5.95918
260; 28; 5.95918
265; 28; 5.95918
270; 28; 5.95918
275; 28; 5.95918
280; 28; 5.95918
285; 28; 5.95918
290; 28; 5.95918
295; 28; 5.95918
300; 28; 5.95918
305; 28; 5.95918
310; 28; 5.95918
315; 28; 5.95918
320; 28; 5.95918
325; 28; 5.95918
330; 28; 5.95918
335; 28; 5.95918
340; 28; 5.95918
345; 28; 5.95918
350; 28; 5.95918
355; 28; 5.95918
360; 28; 5.95918
365; 28; 5.95918
370; 28; 5.95918
375; 28; 5.95918
380; 28; 5.95918
385; 28; 5.95918
390; 28; 5.95918
395; 28; 5.95918
400; 28; 5.95918
405; 28; 5.95918
410; 28; 5.95918
415; 28; 5.95918
420; 28; 5.95918
425; 28; 5.95918
430; 28; 5.95918
435; 28; 5.95918
440; 28; 5.95918
445; 28; 5.95918
450; 28; 5.95918
455; 28; 5.95918
460; 28; 5.95918
465; 28; 5.95918
470; 28; 5.95918
475; 28; 5.95918
480; 28; 5.95918
485; 28; 5.95918
490; 28; 5.95918
495; 28; 5.95918
