### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

time; nVar; meanDU; param
230; 22.8; 3.84788; 5e-05
240; 22.802; 3.84784; 5e-05
250; 22.812; 3.84767; 5e-05
260; 22.812; 3.84743; 5e-05
270; 22.816; 3.84722; 5e-05
280; 22.816; 3.8471; 5e-05
290; 22.816; 3.84669; 5e-05
300; 22.816; 3.84653; 5e-05
310; 22.824; 3.84645; 5e-05
320; 22.824; 3.846; 5e-05
330; 22.828; 3.84596; 5e-05
340; 22.826; 3.84575; 5e-05
350; 22.832; 3.84478; 5e-05
360; 22.834; 3.84441; 5e-05
370; 22.836; 3.84416; 5e-05
380; 22.834; 3.84396; 5e-05
390; 22.834; 3.84392; 5e-05
400; 22.836; 3.84331; 5e-05
410; 22.846; 3.84318; 5e-05
420; 22.846; 3.84318; 5e-05
430; 22.846; 3.84294; 5e-05
440; 22.846; 3.84302; 5e-05
450; 22.85; 3.84282; 5e-05
460; 22.854; 3.84269; 5e-05
470; 22.852; 3.84237; 5e-05
480; 22.856; 3.84224; 5e-05
490; 22.856; 3.84196; 5e-05
500; 22.856; 3.84176; 5e-05
510; 22.854; 3.84176; 5e-05
520; 22.858; 3.84155; 5e-05
530; 22.866; 3.84114; 5e-05
540; 22.858; 3.84078; 5e-05
550; 22.864; 3.84041; 5e-05
560; 22.86; 3.8398; 5e-05
570; 22.864; 3.83935; 5e-05
580; 22.87; 3.83865; 5e-05
590; 22.868; 3.83833; 5e-05
600; 22.866; 3.83804; 5e-05
610; 22.872; 3.83771; 5e-05
620; 22.872; 3.83759; 5e-05
630; 22.874; 3.83722; 5e-05
640; 22.878; 3.83731; 5e-05
650; 22.88; 3.8371; 5e-05
660; 22.878; 3.83702; 5e-05
670; 22.88; 3.83657; 5e-05
680; 22.882; 3.83637; 5e-05
690; 22.882; 3.83633; 5e-05
700; 22.884; 3.836; 5e-05
710; 22.884; 3.83576; 5e-05
720; 22.894; 3.83559; 5e-05
730; 22.902; 3.83498; 5e-05
740; 22.898; 3.83461; 5e-05
750; 22.908; 3.83441; 5e-05
760; 22.908; 3.83429; 5e-05
770; 22.908; 3.83408; 5e-05
780; 22.912; 3.83343; 5e-05
790; 22.914; 3.83314; 5e-05
800; 22.918; 3.83294; 5e-05
810; 22.916; 3.83286; 5e-05
820; 22.92; 3.83265; 5e-05
830; 22.918; 3.8322; 5e-05
840; 22.924; 3.83172; 5e-05
850; 22.914; 3.83176; 5e-05
860; 22.914; 3.83151; 5e-05
870; 22.92; 3.83135; 5e-05
880; 22.916; 3.83123; 5e-05
890; 22.914; 3.83106; 5e-05
900; 22.922; 3.83102; 5e-05
910; 22.918; 3.83102; 5e-05
920; 22.922; 3.83061; 5e-05
930; 22.926; 3.83037; 5e-05
940; 22.92; 3.83016; 5e-05
950; 22.926; 3.82996; 5e-05
960; 22.922; 3.82984; 5e-05
970; 22.924; 3.82976; 5e-05
980; 22.93; 3.8298; 5e-05
990; 22.934; 3.82967; 5e-05
0; 49.84; 31.3798; 0.0001
10; 49.842; 23.2821; 0.0001
20; 49.522; 15.9189; 0.0001
30; 44.562; 9.36286; 0.0001
40; 35.95; 5.4551; 0.0001
50; 28.272; 4.28727; 0.0001
60; 24.23; 3.99502; 0.0001
70; 23.084; 3.89984; 0.0001
80; 22.75; 3.86233; 0.0001
90; 22.614; 3.84375; 0.0001
100; 22.534; 3.83253; 0.0001
110; 22.482; 3.82747; 0.0001
120; 22.464; 3.82237; 0.0001
130; 22.456; 3.81996; 0.0001
140; 22.452; 3.81722; 0.0001
150; 22.45; 3.81612; 0.0001
160; 22.446; 3.81486; 0.0001
170; 22.446; 3.81433; 0.0001
180; 22.446; 3.81367; 0.0001
190; 22.458; 3.81245; 0.0001
200; 22.458; 3.81204; 0.0001
210; 22.466; 3.81163; 0.0001
220; 22.466; 3.81143; 0.0001
230; 22.474; 3.81147; 0.0001
240; 22.474; 3.8113; 0.0001
250; 22.484; 3.81045; 0.0001
260; 22.48; 3.80984; 0.0001
270; 22.478; 3.80918; 0.0001
280; 22.478; 3.80845; 0.0001
290; 22.478; 3.80812; 0.0001
300; 22.48; 3.80763; 0.0001
310; 22.49; 3.80702; 0.0001
320; 22.484; 3.80649; 0.0001
330; 22.488; 3.806; 0.0001
340; 22.494; 3.80563; 0.0001
350; 22.498; 3.8042; 0.0001
360; 22.5; 3.80375; 0.0001
370; 22.498; 3.80302; 0.0001
380; 22.49; 3.80237; 0.0001
390; 22.492; 3.80192; 0.0001
400; 22.486; 3.80139; 0.0001
410; 22.488; 3.80082; 0.0001
420; 22.49; 3.80053; 0.0001
430; 22.502; 3.79963; 0.0001
440; 22.502; 3.79882; 0.0001
450; 22.504; 3.79841; 0.0001
460; 22.508; 3.79816; 0.0001
470; 22.52; 3.79763; 0.0001
480; 22.53; 3.79649; 0.0001
490; 22.526; 3.79469; 0.0001
500; 22.532; 3.79302; 0.0001
510; 22.522; 3.79257; 0.0001
520; 22.526; 3.79163; 0.0001
530; 22.532; 3.79082; 0.0001
540; 22.536; 3.79033; 0.0001
550; 22.532; 3.79012; 0.0001
560; 22.536; 3.78943; 0.0001
570; 22.548; 3.78914; 0.0001
580; 22.55; 3.78861; 0.0001
590; 22.548; 3.78767; 0.0001
600; 22.558; 3.78702; 0.0001
610; 22.558; 3.78608; 0.0001
620; 22.56; 3.78575; 0.0001
630; 22.57; 3.78522; 0.0001
640; 22.57; 3.7849; 0.0001
650; 22.556; 3.78445; 0.0001
660; 22.566; 3.78375; 0.0001
670; 22.576; 3.78326; 0.0001
680; 22.574; 3.78265; 0.0001
690; 22.584; 3.78196; 0.0001
700; 22.588; 3.78069; 0.0001
710; 22.59; 3.77869; 0.0001
720; 22.584; 3.77698; 0.0001
