### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 0, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; fitness; appearence
0.025; 0.0175978; 0.0531329
0.075; 0.0143648; 0.0498059
0.125; 0.0139567; 0.0430079
0.175; 0.0207829; 0.0518009
0.225; 0.0270095; 0.0611887
0.275; 0.0308037; 0.0540908
0.325; 0.0399341; 0.0450088
0.375; 0.0535417; 0.0443049
0.425; 0.0768036; 0.0448455
0.475; 0.092447; 0.0582966
0.525; 0.120363; 0.0446647
0.575; 0.135972; 0.0501633
0.625; 0.155827; 0.0556243
0.675; 0.104043; 0.0547164
0.725; 0.0613101; 0.0474577
0.775; 0.0242265; 0.0514227
0.825; 0.0110137; 0.0465373
0.875; 0; 0.0514144
0.925; 0; 0.0457568
0.975; 0; 0.0467597
