### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; varDist; param
1; 0.63849; 0.005
2; 0.312327; 0.005
3; 0.0232654; 0.005
4; 0.0114694; 0.005
5; 0.00620408; 0.005
6; 0.00363265; 0.005
7; 0.00167347; 0.005
8; 0.000857143; 0.005
9; 0.00077551; 0.005
10; 0.000571429; 0.005
11; 0.000285714; 0.005
12; 0.000122449; 0.005
13; 0.000122449; 0.005
14; 8.16327e-05; 0.005
15; 4.08163e-05; 0.005
16; 0; 0.005
17; 4.08163e-05; 0.005
18; 4.08163e-05; 0.005
19; 0; 0.005
20; 0; 0.005
21; 0; 0.005
22; 0; 0.005
23; 0; 0.005
24; 0; 0.005
25; 0; 0.005
26; 0; 0.005
27; 0; 0.005
28; 0; 0.005
29; 0; 0.005
30; 0; 0.005
31; 0; 0.005
32; 0; 0.005
33; 0; 0.005
34; 0; 0.005
35; 0; 0.005
36; 0; 0.005
37; 0; 0.005
38; 0; 0.005
39; 0; 0.005
40; 0; 0.005
41; 0; 0.005
42; 0; 0.005
43; 0; 0.005
44; 0; 0.005
45; 0; 0.005
46; 0; 0.005
47; 0; 0.005
48; 0; 0.005
49; 0; 0.005
1; 0.670857; 0.01
2; 0.28951; 0.01
3; 0.0209388; 0.01
4; 0.00816326; 0.01
5; 0.00477551; 0.01
6; 0.0024898; 0.01
7; 0.00122449; 0.01
8; 0.000693878; 0.01
9; 0.000571429; 0.01
10; 0.000408163; 0.01
11; 8.16327e-05; 0.01
12; 0.000163265; 0.01
13; 0; 0.01
14; 4.08163e-05; 0.01
15; 0; 0.01
16; 0; 0.01
17; 4.08163e-05; 0.01
18; 4.08163e-05; 0.01
19; 0; 0.01
20; 0; 0.01
21; 0; 0.01
22; 0; 0.01
23; 0; 0.01
24; 0; 0.01
25; 0; 0.01
26; 0; 0.01
27; 0; 0.01
28; 0; 0.01
29; 0; 0.01
30; 0; 0.01
31; 0; 0.01
32; 0; 0.01
33; 0; 0.01
34; 0; 0.01
35; 0; 0.01
36; 0; 0.01
37; 0; 0.01
38; 0; 0.01
39; 0; 0.01
40; 0; 0.01
41; 0; 0.01
42; 0; 0.01
43; 0; 0.01
44; 0; 0.01
45; 0; 0.01
46; 0; 0.01
47; 0; 0.01
48; 0; 0.01
49; 0; 0.01
1; 0.717837; 0.02
2; 0.246122; 0.02
3; 0.02; 0.02
4; 0.00836734; 0.02
5; 0.00379592; 0.02
6; 0.00195918; 0.02
7; 0.00077551; 0.02
8; 0.000530612; 0.02
9; 0.000204082; 0.02
10; 0.000285714; 0.02
11; 8.16327e-05; 0.02
12; 0; 0.02
13; 4.08163e-05; 0.02
14; 0; 0.02
15; 0; 0.02
16; 0; 0.02
17; 0; 0.02
18; 0; 0.02
19; 0; 0.02
20; 0; 0.02
21; 0; 0.02
22; 0; 0.02
23; 0; 0.02
24; 0; 0.02
25; 0; 0.02
26; 0; 0.02
27; 0; 0.02
28; 0; 0.02
29; 0; 0.02
30; 0; 0.02
31; 0; 0.02
32; 0; 0.02
33; 0; 0.02
34; 0; 0.02
35; 0; 0.02
36; 0; 0.02
37; 0; 0.02
38; 0; 0.02
39; 0; 0.02
40; 0; 0.02
41; 0; 0.02
42; 0; 0.02
43; 0; 0.02
44; 0; 0.02
45; 0; 0.02
46; 0; 0.02
47; 0; 0.02
48; 0; 0.02
49; 0; 0.02
1; 0.793754; 0.04
2; 0.165633; 0.04
3; 0.0208164; 0.04
4; 0.0109796; 0.04
5; 0.00453061; 0.04
6; 0.00183673; 0.04
7; 0.00102041; 0.04
8; 0.000530612; 0.04
9; 0.000367347; 0.04
10; 0.000244898; 0.04
11; 4.08163e-05; 0.04
12; 8.16327e-05; 0.04
13; 8.16327e-05; 0.04
14; 4.08163e-05; 0.04
15; 0; 0.04
16; 0; 0.04
17; 4.08163e-05; 0.04
18; 0; 0.04
19; 0; 0.04
20; 0; 0.04
21; 0; 0.04
22; 0; 0.04
23; 0; 0.04
24; 0; 0.04
25; 0; 0.04
26; 0; 0.04
27; 0; 0.04
28; 0; 0.04
29; 0; 0.04
30; 0; 0.04
31; 0; 0.04
32; 0; 0.04
33; 0; 0.04
34; 0; 0.04
35; 0; 0.04
36; 0; 0.04
37; 0; 0.04
38; 0; 0.04
39; 0; 0.04
40; 0; 0.04
41; 0; 0.04
42; 0; 0.04
43; 0; 0.04
44; 0; 0.04
45; 0; 0.04
46; 0; 0.04
47; 0; 0.04
48; 0; 0.04
49; 0; 0.04
1; 0.870123; 0.08
2; 0.0886124; 0.08
3; 0.0215511; 0.08
4; 0.0101633; 0.08
5; 0.00571428; 0.08
6; 0.0024898; 0.08
7; 0.000816326; 0.08
8; 0.000326531; 0.08
9; 0.000163265; 0.08
10; 0; 0.08
11; 4.08163e-05; 0.08
12; 0; 0.08
13; 0; 0.08
14; 0; 0.08
15; 0; 0.08
16; 0; 0.08
17; 0; 0.08
18; 0; 0.08
19; 0; 0.08
20; 0; 0.08
21; 0; 0.08
22; 0; 0.08
23; 0; 0.08
24; 0; 0.08
25; 0; 0.08
26; 0; 0.08
27; 0; 0.08
28; 0; 0.08
29; 0; 0.08
30; 0; 0.08
31; 0; 0.08
32; 0; 0.08
33; 0; 0.08
34; 0; 0.08
35; 0; 0.08
36; 0; 0.08
37; 0; 0.08
38; 0; 0.08
39; 0; 0.08
40; 0; 0.08
41; 0; 0.08
42; 0; 0.08
43; 0; 0.08
44; 0; 0.08
45; 0; 0.08
46; 0; 0.08
47; 0; 0.08
48; 0; 0.08
49; 0; 0.08
