### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

param; nVar; meanDU
5; 4.578; 1.4398
10; 6.734; 1.89416
15; 9.148; 2.24723
20; 11.448; 2.68347
25; 13.258; 2.92139
30; 15.42; 3.16931
35; 17.32; 3.41539
40; 19.52; 3.57784
45; 21.668; 3.76486
50; 23.04; 3.83612
55; 25.056; 3.9678
60; 26.636; 4.02461
65; 28.12; 4.10155
70; 29.648; 4.11951
75; 30.534; 4.07457
80; 31.95; 4.15576
85; 33.946; 4.24959
90; 35.198; 4.19588
95; 36.74; 4.27543
100; 36.908; 4.23375
