### PARAMETERS VALUE ###
### LATTICESIZE = 50, NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.25, MUTATIONPROB = 0, NRESOURCEDIST = 2500, MAXTIME = 20000, TIMEINTERVAL = 100, NRUN = 10 ###

time; nSpecie; param
8000; 5; 0.05
8100; 5; 0.05
8200; 5; 0.05
8300; 5; 0.05
8400; 4; 0.05
8500; 4; 0.05
8600; 4; 0.05
8700; 4; 0.05
8800; 4; 0.05
8900; 4; 0.05
9000; 4; 0.05
9100; 4; 0.05
9200; 4; 0.05
9300; 4; 0.05
9400; 4; 0.05
9500; 4; 0.05
9600; 4; 0.05
9700; 4; 0.05
9800; 4; 0.05
9900; 4; 0.05
10000; 4; 0.05
10100; 3; 0.05
10200; 3; 0.05
10300; 3; 0.05
10400; 3; 0.05
10500; 3; 0.05
10600; 3; 0.05
10700; 3; 0.05
10800; 3; 0.05
10900; 3; 0.05
11000; 3; 0.05
11100; 3; 0.05
11200; 3; 0.05
11300; 3; 0.05
11400; 3; 0.05
11500; 3; 0.05
11600; 3; 0.05
11700; 3; 0.05
11800; 3; 0.05
11900; 3; 0.05
12000; 3; 0.05
12100; 3; 0.05
12200; 3; 0.05
12300; 3; 0.05
12400; 3; 0.05
12500; 2; 0.05
12600; 2; 0.05
12700; 2; 0.05
12800; 2; 0.05
12900; 2; 0.05
13000; 2; 0.05
13100; 2; 0.05
13200; 2; 0.05
13300; 2; 0.05
13400; 2; 0.05
13500; 2; 0.05
13600; 2; 0.05
13700; 2; 0.05
13800; 2; 0.05
13900; 2; 0.05
14000; 2; 0.05
14100; 2; 0.05
14200; 2; 0.05
14300; 2; 0.05
14400; 2; 0.05
14500; 2; 0.05
14600; 2; 0.05
14700; 2; 0.05
14800; 2; 0.05
14900; 2; 0.05
15000; 2; 0.05
15100; 2; 0.05
15200; 2; 0.05
15300; 2; 0.05
15400; 2; 0.05
15500; 2; 0.05
15600; 2; 0.05
15700; 2; 0.05
15800; 2; 0.05
15900; 2; 0.05
16000; 2; 0.05
16100; 2; 0.05
16200; 2; 0.05
16300; 2; 0.05
16400; 2; 0.05
16500; 2; 0.05
16600; 2; 0.05
16700; 2; 0.05
16800; 2; 0.05
16900; 2; 0.05
17000; 2; 0.05
17100; 2; 0.05
17200; 2; 0.05
17300; 2; 0.05
17400; 2; 0.05
17500; 2; 0.05
17600; 2; 0.05
17700; 2; 0.05
17800; 2; 0.05
17900; 2; 0.05
18000; 2; 0.05
18100; 2; 0.05
18200; 2; 0.05
18300; 2; 0.05
18400; 2; 0.05
18500; 2; 0.05
18600; 2; 0.05
18700; 2; 0.05
18800; 2; 0.05
18900; 2; 0.05
19000; 2; 0.05
19100; 2; 0.05
19200; 2; 0.05
19300; 2; 0.05
19400; 2; 0.05
19500; 2; 0.05
19600; 2; 0.05
19700; 2; 0.05
19800; 2; 0.05
19900; 2; 0.05
0; 100; 0.075
100; 91; 0.075
200; 75; 0.075
300; 62; 0.075
400; 54; 0.075
500; 48; 0.075
600; 43; 0.075
700; 39; 0.075
800; 35; 0.075
900; 32; 0.075
1000; 30; 0.075
1100; 28; 0.075
1200; 25; 0.075
1300; 24; 0.075
1400; 21; 0.075
1500; 20; 0.075
1600; 19; 0.075
1700; 18; 0.075
1800; 17; 0.075
1900; 16; 0.075
2000; 15; 0.075
2100; 14; 0.075
2200; 13; 0.075
2300; 12; 0.075
2400; 11; 0.075
2500; 11; 0.075
2600; 11; 0.075
2700; 10; 0.075
2800; 9; 0.075
2900; 9; 0.075
3000; 8; 0.075
3100; 8; 0.075
3200; 7; 0.075
3300; 7; 0.075
3400; 7; 0.075
3500; 7; 0.075
3600; 7; 0.075
3700; 6; 0.075
3800; 6; 0.075
3900; 6; 0.075
4000; 5; 0.075
4100; 5; 0.075
4200; 5; 0.075
4300; 5; 0.075
4400; 5; 0.075
4500; 5; 0.075
4600; 5; 0.075
4700; 4; 0.075
4800; 4; 0.075
4900; 4; 0.075
5000; 4; 0.075
5100; 4; 0.075
5200; 4; 0.075
5300; 4; 0.075
5400; 4; 0.075
5500; 3; 0.075
5600; 3; 0.075
5700; 3; 0.075
5800; 3; 0.075
5900; 3; 0.075
6000; 3; 0.075
6100; 3; 0.075
6200; 3; 0.075
6300; 3; 0.075
6400; 3; 0.075
6500; 3; 0.075
6600; 3; 0.075
6700; 3; 0.075
6800; 3; 0.075
6900; 3; 0.075
7000; 3; 0.075
7100; 3; 0.075
7200; 3; 0.075
7300; 3; 0.075
7400; 3; 0.075
7500; 3; 0.075
7600; 3; 0.075
7700; 3; 0.075
7800; 3; 0.075
7900; 3; 0.075
8000; 3; 0.075
8100; 3; 0.075
8200; 3; 0.075
8300; 3; 0.075
8400; 3; 0.075
8500; 3; 0.075
8600; 3; 0.075
8700; 3; 0.075
8800; 2; 0.075
8900; 2; 0.075
9000; 2; 0.075
9100; 2; 0.075
9200; 2; 0.075
9300; 2; 0.075
9400; 2; 0.075
9500; 2; 0.075
9600; 2; 0.075
9700; 2; 0.075
9800; 2; 0.075
9900; 2; 0.075
10000; 2; 0.075
10100; 2; 0.075
10200; 2; 0.075
10300; 2; 0.075
10400; 2; 0.075
10500; 2; 0.075
10600; 2; 0.075
10700; 2; 0.075
10800; 2; 0.075
10900; 2; 0.075
11000; 2; 0.075
11100; 2; 0.075
11200; 2; 0.075
11300; 2; 0.075
11400; 2; 0.075
11500; 2; 0.075
11600; 2; 0.075
11700; 2; 0.075
11800; 2; 0.075
11900; 2; 0.075
12000; 2; 0.075
12100; 2; 0.075
12200; 2; 0.075
12300; 2; 0.075
12400; 2; 0.075
12500; 2; 0.075
12600; 2; 0.075
12700; 2; 0.075
12800; 2; 0.075
12900; 2; 0.075
13000; 2; 0.075
13100; 2; 0.075
13200; 2; 0.075
13300; 2; 0.075
13400; 2; 0.075
13500; 2; 0.075
13600; 2; 0.075
13700; 2; 0.075
13800; 2; 0.075
13900; 2; 0.075
14000; 1; 0.075
14100; 1; 0.075
14200; 1; 0.075
14300; 1; 0.075
14400; 1; 0.075
14500; 1; 0.075
14600; 1; 0.075
14700; 1; 0.075
14800; 1; 0.075
14900; 1; 0.075
15000; 1; 0.075
15100; 1; 0.075
15200; 1; 0.075
15300; 1; 0.075
15400; 1; 0.075
15500; 1; 0.075
15600; 1; 0.075
15700; 1; 0.075
15800; 1; 0.075
