### Test for the evolution of the number of species X time for multiple L values.
### n = 3; k = 100; u = 0.1; m = 0.0; T = 100000; tic = 1000; nRun = 10.
0; 61; 100; 100; 100; 100
1000; 1; 21; 62; 92; 100
2000; 1; 12; 40; 73; 97
3000; 1; 9; 31; 61; 91
4000; 1; 7; 25; 52; 86
5000; 1; 5; 21; 46; 81
6000; 1; 4; 19; 40; 75
7000; 1; 4; 17; 36; 70
8000; 1; 4; 16; 32; 65
9000; 1; 3; 14; 30; 62
10000; 1; 3; 12; 27; 59
11000; 1; 3; 11; 25; 56
12000; 1; 2; 10; 23; 53
13000; 1; 2; 9; 22; 51
14000; 1; 2; 8; 21; 48
15000; 1; 2; 8; 19; 46
16000; 1; 1; 7; 18; 44
17000; 1; 1; 6; 17; 41
18000; 1; 1; 6; 17; 39
19000; 1; 1; 5; 15; 37
20000; 1; 1; 5; 14; 36
21000; 1; 1; 5; 13; 34
22000; 1; 1; 4; 12; 33
23000; 1; 1; 4; 11; 31
24000; 1; 1; 4; 11; 30
25000; 1; 1; 4; 10; 29
26000; 1; 1; 4; 10; 28
27000; 1; 1; 4; 9; 27
28000; 1; 1; 3; 9; 26
29000; 1; 1; 3; 8; 25
30000; 1; 1; 3; 8; 24
31000; 1; 1; 3; 7; 23
32000; 1; 1; 3; 7; 23
33000; 1; 1; 3; 7; 22
34000; 1; 1; 3; 6; 21
35000; 1; 1; 3; 6; 20
36000; 1; 1; 3; 6; 20
37000; 1; 1; 3; 6; 19
38000; 1; 1; 3; 5; 18
39000; 1; 1; 3; 5; 17
40000; 1; 1; 3; 5; 17
41000; 1; 1; 3; 5; 17
42000; 1; 1; 2; 4; 16
43000; 1; 1; 2; 4; 15
44000; 1; 1; 2; 4; 15
45000; 1; 1; 2; 4; 15
46000; 1; 1; 2; 4; 14
47000; 1; 1; 2; 4; 14
48000; 1; 1; 2; 3; 14
49000; 1; 1; 2; 3; 14
50000; 1; 1; 2; 3; 13
51000; 1; 1; 2; 3; 13
52000; 1; 1; 2; 3; 12
53000; 1; 1; 2; 3; 12
54000; 1; 1; 2; 3; 11
55000; 1; 1; 2; 3; 11
56000; 1; 1; 2; 3; 11
57000; 1; 1; 2; 3; 10
58000; 1; 1; 2; 3; 10
59000; 1; 1; 2; 3; 10
60000; 1; 1; 2; 3; 9
61000; 1; 1; 2; 3; 9
62000; 1; 1; 2; 3; 9
63000; 1; 1; 2; 2; 9
64000; 1; 1; 2; 2; 9
65000; 1; 1; 2; 2; 9
66000; 1; 1; 2; 2; 8
67000; 1; 1; 2; 2; 8
68000; 1; 1; 2; 2; 8
69000; 1; 1; 2; 2; 7
70000; 1; 1; 2; 2; 7
71000; 1; 1; 2; 2; 7
72000; 1; 1; 1; 2; 7
73000; 1; 1; 1; 2; 7
74000; 1; 1; 1; 2; 7
75000; 1; 1; 1; 2; 7
76000; 1; 1; 1; 2; 7
77000; 1; 1; 1; 2; 6
78000; 1; 1; 1; 2; 6
79000; 1; 1; 1; 2; 6
80000; 1; 1; 1; 2; 6
81000; 1; 1; 1; 2; 6
82000; 1; 1; 1; 2; 6
83000; 1; 1; 1; 2; 6
84000; 1; 1; 1; 2; 6
85000; 1; 1; 1; 2; 5
86000; 1; 1; 1; 2; 5
87000; 1; 1; 1; 2; 5
88000; 1; 1; 1; 2; 5
89000; 1; 1; 1; 2; 5
90000; 1; 1; 1; 2; 5
91000; 1; 1; 1; 2; 5
92000; 1; 1; 1; 2; 5
93000; 1; 1; 1; 2; 5
94000; 1; 1; 1; 2; 5
95000; 1; 1; 1; 2; 5
96000; 1; 1; 1; 2; 5
97000; 1; 1; 1; 2; 5
98000; 1; 1; 1; 2; 4
99000; 1; 1; 1; 2; 4
